«	PUN:cit	«
notre	DET:POS	notre
foyer	NOM	foyer
s'	PRO:PER	se
attache	VER:pres	attacher
à	PRP	à
remplir	VER:infi	remplir
la	DET:ART	le
mission	NOM	mission
qu'	PRO:REL	que
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
fixé	VER:pper	fixer
:	PUN	:
être	VER:infi	être
un	DET:ART	un
relais	NOM	relais
vivant	VER:ppre	vivre
pour	PRP	pour
dynamiser	VER:infi	dynamiser
du	PRP:det	du
point	NOM	point
de	PRP	de
vue	NOM	vue
sportif	ADJ	sportif
et	KON	et
culturel	ADJ	culturel
,	PUN	,
notre	DET:POS	notre
lieu	NOM	lieu
d'	PRP	de
habitat	NOM	habitat
qui	PRO:REL	qui
est	VER:pres	être
rural	ADJ	rural
et	KON	et
il	PRO:PER	il
faut	VER:pres	falloir
le	DET:ART	le
dire	NOM	dire
,	PUN	,
un	DET:ART	un
peu	ADV	peu
éloigné	VER:pper	éloigner
de	PRP	de
ces	PRO:DEM	ce
activités	NOM	activité
qui	PRO:REL	qui
font	VER:pres	faire
qu'	ADV	qu'
on	PRO:PER	on
aime	VER:pres	aimer
bien	ADV	bien
vivre	VER:infi	vivre
là	ADV	là
!	SENT	!
la	DET:ART	le
culture	NOM	culture
,	PUN	,
les	DET:ART	le
activités	NOM	activité
sportives	ADJ	sportif
ne	ADV	ne
peuvent	VER:pres	pouvoir
être	VER:infi	être
réservées	VER:pper	réserver
aux	PRP:det	au
villes	NOM	ville
.	SENT	.
y	PRO:PER	y
avoir	VER:infi	avoir
accès	NOM	accès
répond	VER:pres	répondre
à	PRP	à
des	PRP:det	du
besoins	NOM	besoin
d'	PRP	de
ouverture	NOM	ouverture
et	KON	et
d'	PRP	de
égalité	NOM	égalité
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
dans	PRP	dans
cet	PRO:DEM	ce
esprit	NOM	esprit
que	KON	que
le	DET:ART	le
fal	NOM	fal
s'	PRO:PER	se
efforce	VER:pres	efforcer
de	PRP	de
proposer	VER:infi	proposer
des	PRP:det	du
animations	NOM	animation
variées	ADJ	varié
.	SENT	.
elles	PRO:PER	elle
les	PRO:PER	la|le
veut	VER:pres	vouloir
formatrices	ADJ	formateur
,	PUN	,
diversifiées	VER:pper	diversifier
,	PUN	,
plaisantes	ADJ	plaisant
et	KON	et
ludiques	ADJ	ludique
.	SENT	.
enfin	ADV	enfin
l'	DET:ART	le
année	NOM	année
écoulée	VER:pper	écouler
a	VER:pres	avoir
atteint	VER:pper	atteindre
ces	PRO:DEM	ce
objectifs	NOM	objectif
.	SENT	.
la	DET:ART	le
municipalité	NOM	municipalité
reconnaît	VER:pres	reconnaître
nos	DET:POS	notre
actions	NOM	action
en	PRP	en
mettant	VER:ppre	mettre
à	PRP	à
disposition	NOM	disposition
les	DET:ART	le
locaux	NOM	local
nécessaires	ADJ	nécessaire
.	SENT	.
2003	ABR	@card@
sera	VER:futu	être
l'	DET:ART	le
année	NOM	année
de	PRP	de
notre	DET:POS	notre
20	NUM	@card@
e	NOM	e
anniversaire	ADJ	anniversaire
».	VER:simp	».
c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
ces	PRO:DEM	ce
termes	NOM	terme
qu'	KON	que
arlette	NOM	arlette
haegi	NOM	haegi
a	VER:pres	avoir
ouvert	VER:pper	ouvrir
la	DET:ART	le
19	NUM	@card@
e	ADJ	e
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
foyer	NOM	foyer
d'	PRP	de
animation	NOM	animation
et	KON	et
de	PRP	de
loisirs	NOM	loisir
(	PUN	(
fal	ADJ	fal
)	PUN	)
de	PRP	de
dampierre	NOM	dampierre
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
centre	NOM	centre
socio-culturel	ADJ	socio-culturel
.	SENT	.
actuellement	ADV	actuellement
le	DET:ART	le
fal	ADJ	fal
compte	NOM	compte
140	NUM	@card@
adhérents	NOM	adhérent
dont	PRO:REL	dont
49	NUM	@card@
moins	ADV	moins
de	PRP	de
seize	NUM	seize
ans	NOM	an
et	KON	et
16	NUM	@card@
étudiants	NOM	étudiant
.	SENT	.
l'	DET:ART	le
affiliation	NOM	affiliation
à	PRP	à
la	DET:ART	le
fol	ADJ	fou
s'	PRO:PER	se
élève	VER:pres	élever
à	PRP	à
65	NUM	@card@
,	NOM	,
à	PRP	à
l'	DET:ART	le
ufolep	NOM	ufolep
à	PRP	à
46	NUM	@card@
	NOM	
;	PUN	;
la	DET:ART	le
carte	NOM	carte
adulte	ADJ	adulte
est	VER:pres	être
fixée	VER:pper	fixer
à	PRP	à
13	NUM	@card@
	NOM	
;	PUN	;
jeune	NOM	jeune
5	NUM	@card@
	NOM	
;	PUN	;
étudiant	VER:ppre	étudier
8	NUM	@card@
.	ABR	.
le	DET:ART	le
fal	NOM	fal
a	VER:pres	avoir
reçu	VER:pper	recevoir
des	PRP:det	du
aides	NOM	aide
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
(	PUN	(
ccpm	NOM	ccpm
)	PUN	)
et	KON	et
de	PRP	de
la	DET:ART	le
commune	NOM	commune
.	SENT	.
la	DET:ART	le
section	NOM	section
gymnastique	ADJ	gymnastique
d'	PRP	de
entretien	NOM	entretien
(	PUN	(
responsable	ADJ	responsable
agnès	NOM	agnès
figard	ADJ	figard
)	PUN	)
compte	NOM	compte
17	NUM	@card@
participants	NOM	participant
qui	PRO:REL	qui
se	PRO:PER	se
retrouvent	VER:pres	retrouver
chaque	PRO:IND	chaque
mardi	NOM	mardi
,	PUN	,
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h.	ABR	h.
les	DET:ART	le
séances	NOM	séance
sont	VER:pres	être
animées	VER:pper	animer
en	PRP	en
alternance	NOM	alternance
par	PRP	par
pascale	ADJ	pascal
borgetto	NOM	borgetto
,	PUN	,
agnès	NOM	agnès
figard	ADJ	figard
et	KON	et
isabelle	ADJ	isabelle
