«	PUN:cit	«
je	PRO:PER	je
ne	ADV	ne
fume	VER:pres	fumer
que	KON	que
le	DET:ART	le
cigare	NOM	cigare
.	SENT	.
je	PRO:PER	je
ne	ADV	ne
suis	VER:pres	suivre|être
donc	ADV	donc
pas	ADV	pas
directement	ADV	directement
concerné	VER:pper	concerner
par	PRP	par
la	DET:ART	le
prochaine	ADJ	prochain
augmentation	NOM	augmentation
.	SENT	.
cependant	ADV	cependant
,	PUN	,
je	PRO:PER	je
compatis	VER:simp	compatis
avec	PRP	avec
les	DET:ART	le
fumeurs	NOM	fumeur
de	PRP	de
cigarettes	NOM	cigarette
.	SENT	.
comme	ADV	comme
toujours	ADV	toujours
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
taxe	NOM	taxe
qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
rien	ADV	rien
à	PRP	à
voir	VER:infi	voir
avec	PRP	avec
le	DET:ART	le
prix	NOM	prix
de	PRP	de
base	NOM	base
.	SENT	.
l'	DET:ART	le
essence	NOM	essence
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
même	ADJ	même
histoire	NOM	histoire
:	PUN	:
tout	PRO:IND	tout
va	VER:pres	aller
directement	ADV	directement
dans	PRP	dans
les	DET:ART	le
caisses	NOM	caisse
de	PRP	de
l'	DET:ART	le
etat	NOM	etat
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
tout	ADV	tout
simplement	ADV	simplement
scandaleux	ADJ	scandaleux
».	NOM	».
