c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
présence	NOM	présence
de	PRP	de
nombreux	ADJ	nombreux
lodois	NOM	lodois
et	KON	et
lodoises	NOM	lodoises
et	KON	et
de	PRP	de
jean-françois	ADJ	jean-françois
longeot	NOM	longeot
,	PUN	,
conseiller	VER:infi	conseiller
général	ADJ	général
d'	PRP	de
ornans	NOM	ornans
,	PUN	,
des	PRP:det	du
adjoints	NOM	adjoint
et	KON	et
conseillers	NOM	conseiller
municipaux	ADJ	municipal
d'	PRP	de
employés	NOM	employé
communaux	ADJ	communal
et	KON	et
présidents	NOM	président
d'	PRP	de
associations	NOM	association
que	KON	que
jean-michel	NOM	jean-michel
lièvremont	VER:futu	lièvremont
,	PUN	,
maire	NOM	maire
,	PUN	,
présenta	VER:simp	présenter
les	DET:ART	le
v	NOM	v
	ADJ	
ux	ADJ	ux
au	PRP:det	au
nom	NOM	nom
de	PRP	de
la	DET:ART	le
municipalité	NOM	municipalité
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
indiqué	VER:pper	indiquer
que	KON	que
2002	NUM	@card@
aura	NOM	aura
été	VER:pper	être
l'	DET:ART	le
année	NOM	année
de	PRP	de
la	DET:ART	le
prise	NOM	prise
en	PRP	en
charge	NOM	charge
des	PRP:det	du
principaux	ADJ	principal
dossiers	NOM	dossier
,	PUN	,
il	PRO:PER	il
dévoila	VER:simp	dévoiler
les	DET:ART	le
projets	NOM	projet
pour	PRP	pour
2003	NUM	@card@
:	PUN	:
renouvellement	NOM	renouvellement
des	PRP:det	du
canalisations	NOM	canalisation
d'	PRP	de
eau	NOM	eau
et	KON	et
réfection	NOM	réfection
de	PRP	de
la	DET:ART	le
chaussée	NOM	chaussée
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
eglise	NOM	eglise
.	SENT	.
raccordement	NOM	raccordement
au	PRP:det	au
réseau	NOM	réseau
d'	PRP	de
assainissement	NOM	assainissement
des	PRP:det	du
bâtiments	NOM	bâtiment
communaux	ADJ	communal
et	KON	et
remise	VER:pper	remettre
en	PRP	en
état	NOM	état
des	PRP:det	du
escaliers	NOM	escalier
(	PUN	(
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
école	NOM	école
et	KON	et
de	PRP	de
la	DET:ART	le
poste	NOM	poste
).	ABR	).
réalisation	NOM	réalisation
d'	PRP	de
un	DET:ART	un
aménagement	NOM	aménagement
sanitaire	ADJ	sanitaire
sur	PRP	sur
la	DET:ART	le
rd	NOM	rd
67	NUM	@card@
quartier	NOM	quartier
du	PRP:det	du
moulin	NOM	moulin
neuf	ADJ	neuf
,	PUN	,
restauration	NOM	restauration
de	PRP	de
la	DET:ART	le
chaire	NOM	chaire
à	PRP	à
prêcher	VER:infi	prêcher
et	KON	et
de	PRP	de
trois	NUM	trois
tableaux	NOM	tableau
du	PRP:det	du
rétable	ADJ	rétable
de	PRP	de
l'	DET:ART	le
église	NOM	église
,	PUN	,
création	NOM	création
de	PRP	de
nouveaux	ADJ	nouveau
points	NOM	point
d'	PRP	de
éclairage	NOM	éclairage
public	ADJ	public
et	KON	et
poursuite	NOM	poursuite
de	PRP	de
la	DET:ART	le
procédure	NOM	procédure
de	PRP	de
révision	NOM	révision
du	PRP:det	du
plu	VER:pper	plaire|pleuvoir
(	PUN	(
ancien	ADJ	ancien
pos	NOM	pos
).	VER:subi	).
le	DET:ART	le
maire	NOM	maire
renouvella	VER:simp	renouvella
ses	DET:POS	son
bons	ADJ	bon
v	NOM	v
	ADJ	
ux	ADJ	ux
pour	PRP	pour
2003	NUM	@card@
et	KON	et
invita	VER:simp	inviter
chacun	PRO:IND	chacun
au	PRP:det	au
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
et	KON	et
à	PRP	à
partager	VER:infi	partager
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
.	SENT	.
