lors	ADV	lors
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
handicapés	NOM	handicapé
que	PRO:REL	que
préside	VER:pres	présider
jean-pierre	NOM	jean-pierre
gasparri	NOM	gasparri
,	PUN	,
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
le	DET:ART	le
tirage	NOM	tirage
des	PRP:det	du
bons	NOM	bon
de	PRP	de
soutien	NOM	soutien
.	SENT	.
sont	VER:pres	être
gagnants	ADJ	gagnant
les	DET:ART	le
numéros	NOM	numéro
suivants	ADJ	suivant
:	PUN	:
021	NUM	@card@
024	NUM	@card@
027	ABR	@card@
031	NUM	@card@
036	NUM	@card@
041	ABR	@card@
081	NUM	@card@
083	NUM	@card@
098	ABR	@card@
099	NUM	@card@
102	NUM	@card@
103	ABR	@card@
104	NUM	@card@
105	NUM	@card@
125	ABR	@card@
128	NUM	@card@
129	NUM	@card@
131	ABR	@card@
133	NUM	@card@
135	NUM	@card@
140	ABR	@card@
164	NUM	@card@
169	NUM	@card@
175	ABR	@card@
190	NUM	@card@
198	NUM	@card@
220	ABR	@card@
221	NUM	@card@
230	NUM	@card@
232	ABR	@card@
233	NUM	@card@
246	NUM	@card@
317	NUM	@card@
324	ABR	@card@
325	NUM	@card@
328	NUM	@card@
329	ABR	@card@
337	NUM	@card@
tous	PRO:IND	tout
les	DET:ART	le
lots	NOM	lot
seront	VER:futu	être
apportés	VER:pper	apporter
au	PRP:det	au
domicile	NOM	domicile
des	PRP:det	du
gagnants	NOM	gagnant
par	PRP	par
les	DET:ART	le
responsables	ADJ	responsable
.	SENT	.
mmes	ADJ	mmes
gasparri	NOM	gasparri
,	PUN	,
junger	ADJ	junger
et	KON	et
frédéric	ADJ	frédéric
gasparri	NOM	gasparri
passent	VER:pres	passer
en	PRP	en
ce	PRO:DEM	ce
moment	NOM	moment
avec	PRP	avec
les	DET:ART	le
calendriers	NOM	calendrier
au	PRP:det	au
profit	NOM	profit
des	PRP:det	du
handicapés	NOM	handicapé
.	SENT	.
réservez-leur	NOM	réservez-leur
un	DET:ART	un
bon	ADJ	bon
accueil	NOM	accueil
.	SENT	.
chaque	PRO:IND	chaque
handicapé	NOM	handicapé
a	VER:pres	avoir
reçu	VER:pper	recevoir
de	PRP	de
l'	DET:ART	le
association	NOM	association
un	DET:ART	un
bon	ADJ	bon
de	PRP	de
60	NUM	@card@
	NOM	
pour	PRP	pour
le	DET:ART	le
noël	NOM	noël
2002	NUM	@card@
pour	PRP	pour
l'	DET:ART	le
année	NOM	année
2003	NUM	@card@
sont	VER:pres	être
prévues	VER:pper	prévoir
les	DET:ART	le
manifestations	NOM	manifestation
habituelles	ADJ	habituel
:	PUN	:
la	DET:ART	le
fête	NOM	fête
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
mai	NOM	mai
(	PUN	(
stand	NOM	stand
)	PUN	)
avec	PRP	avec
les	DET:ART	le
mineurs	NOM	mineur
de	PRP	de
bouligny	NOM	bouligny
du	PRP:det	du
sous-sol	NOM	sous-sol
lorrain	ADJ	lorrain
,	PUN	,
la	DET:ART	le
buvette	NOM	buvette
de	PRP	de
la	DET:ART	le
fête	NOM	fête
patronale	ADJ	patronal
au	PRP:det	au
quartier	NOM	quartier
de	PRP	de
joudreville-la-côte	NOM	joudreville-la-côte
,	PUN	,
le	DET:ART	le
stand	NOM	stand
à	PRP	à
la	DET:ART	le
fête	NOM	fête
de	PRP	de
«	PUN:cit	«
la	DET:ART	le
voix	NOM	voix
du	PRP:det	du
mineur	ADJ	mineur
»	PUN:cit	»
à	PRP	à
bouligny	NAM	bouligny
,	PUN	,
et	KON	et
deux	NUM	deux
repas	NOM	repas
et	KON	et
spectacles	NOM	spectacle
offerts	VER:pper	offrir
aux	PRP:det	au
handicapés	NOM	handicapé
.	SENT	.
