lors	ADV	lors
des	PRP:det	du
élections	NOM	élection
professionnelles	ADJ	professionnel
pour	PRP	pour
l'	DET:ART	le
élection	NOM	élection
des	PRP:det	du
représentants	NOM	représentant
du	PRP:det	du
personnel	NOM	personnel
au	PRP:det	au
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
de	PRP	de
la	DET:ART	le
sncf	NOM	sncf
,	PUN	,
le	DET:ART	le
syndicat	NOM	syndicat
cgt	ADJ	cgt
a	VER:pres	avoir
obtenu	VER:pper	obtenir
36	NUM	@card@
voix	NOM	voix
sur	PRP	sur
43	NUM	@card@
votants	NOM	votant
,	PUN	,
en	PRP	en
gare	NOM	gare
de	PRP	de
toul	NOM	toul
.	SENT	.
soit	KON	soit
84	NUM	@card@
%	SYM	%
des	PRP:det	du
suffrages	NOM	suffrage
.	SENT	.
patrick	NOM	patrick
vogt	ADJ	vogt
,	PUN	,
le	DET:ART	le
secrétaire	NOM	secrétaire
cgt	VER:futu	cgt
des	PRP:det	du
cheminots	NOM	cheminot
toulois	ADJ	toulois
,	PUN	,
s'	PRO:PER	se
en	PRO:PER	en
félicite	VER:pres	féliciter
et	KON	et
rappelle	VER:pres	rappeler
la	DET:ART	le
volonté	NOM	volonté
de	PRP	de
son	DET:POS	son
syndicat	NOM	syndicat
de	PRP	de
«	PUN:cit	«
défendre	VER:infi	défendre
un	DET:ART	un
service	NOM	service
public	ADJ	public
de	PRP	de
qualité	NOM	qualité
pour	PRP	pour
les	DET:ART	le
usagers	NOM	usager
,	PUN	,
et	KON	et
l'	DET:ART	le
amélioration	NOM	amélioration
de	PRP	de
la	DET:ART	le
vie	NOM	vie
professionnelle	ADJ	professionnel
et	KON	et
sociale	ADJ	social
de	PRP	de
tous	PRO:IND	tout
les	DET:ART	le
cheminots	NOM	cheminot
».	ADJ	».
