ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
encore	ADV	encore
l'	DET:ART	le
ouverture	NOM	ouverture
,	PUN	,
mais	KON	mais
en	PRP	en
dépit	NOM	dépit
d'	PRP	de
une	DET:ART	un
bise	NOM	bise
glaciale	ADJ	glacial
,	PUN	,
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
déjà	ADV	déjà
du	PRP:det	du
monde	NOM	monde
sur	PRP	sur
les	DET:ART	le
bords	NOM	bord
des	PRP:det	du
bassins	NOM	bassin
de	PRP	de
la	DET:ART	le
pisciculture	NOM	pisciculture
du	PRP:det	du
vaucheron	NOM	vaucheron
,	PUN	,
où	PRO:REL	où
une	DET:ART	un
quinzaine	NOM	quinzaine
de	PRP	de
membres	NOM	membre
de	PRP	de
la	DET:ART	le
truite	NOM	truite
saumonée	ADJ	saumoné
,	PUN	,
dont	PRO:REL	dont
de	PRP	de
nombreux	ADJ	nombreux
jeunes	NOM	jeune
,	PUN	,
conduite	VER:pper	conduire
par	PRP	par
le	DET:ART	le
président	NOM	président
dominique	ADJ	dominique
aubry	NOM	aubry
,	PUN	,
s'	PRO:PER	se
est	VER:pres	être
rendue	VER:pper	rendre
.	SENT	.
rémi	NOM	rémi
,	PUN	,
le	DET:ART	le
maître	NOM	maître
des	PRP:det	du
lieux	NOM	lieu
,	PUN	,
a	VER:pres	avoir
rappelé	VER:pper	rappeler
l'	DET:ART	le
origine	NOM	origine
de	PRP	de
la	DET:ART	le
pisciculture	NOM	pisciculture
de	PRP	de
la	DET:ART	le
fédération	NOM	fédération
départementale	ADJ	départemental
de	PRP	de
la	DET:ART	le
meuse	NOM	meuse
,	PUN	,
installée	VER:pper	installer
à	PRP	à
gondrecourt-le-château	NOM	gondrecourt-le-château
sur	PRP	sur
une	DET:ART	un
source	NOM	source
,	PUN	,
qui	PRO:REL	qui
fournit	VER:pres	fournir
les	DET:ART	le
appma	NOM	appma
du	PRP:det	du
département	NOM	département
en	PRP	en
poissons	NOM	poisson
et	KON	et
alevins	NOM	alevin
pour	PRP	pour
leurs	DET:POS	leur
rempoissonnements	NOM	rempoissonnement
et	KON	et
alevinages	NOM	alevinage
.	SENT	.
puis	ADV	puis
il	PRO:PER	il
s'	PRO:PER	se
est	VER:pres	être
transformé	VER:pper	transformer
en	PRP	en
guide	NOM	guide
pour	PRP	pour
commenter	VER:infi	commenter
la	DET:ART	le
visite	NOM	visite
du	PRP:det	du
site	NOM	site
,	PUN	,
d'	PRP	de
autant	ADV	autant
plus	ADV	plus
intéressante	ADJ	intéressant
qu'	KON	que
elle	PRO:PER	elle
se	PRO:PER	se
situe	VER:pres	situer
au	PRP:det	au
mois	NOM	moi|mois
de	PRP	de
janvier	NOM	janvier
,	PUN	,
une	DET:ART	un
période	NOM	période
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
laquelle	PRO:REL	lequel
il	PRO:PER	il
est	VER:pres	être
possible	ADJ	possible
d'	PRP	de
observer	VER:infi	observer
les	DET:ART	le
différents	ADJ	différent
stades	NOM	stade
de	PRP	de
l'	DET:ART	le
évolution	NOM	évolution
des	PRP:det	du
alevins	NOM	alevin
de	PRP	de
truites	NOM	truite
,	PUN	,
dont	PRO:REL	dont
les	DET:ART	le
naissances	NOM	naissance
ont	VER:pres	avoir
débuté	VER:pper	débuter
en	PRP	en
décembre	NOM	décembre
et	KON	et
se	PRO:PER	se
prolongent	VER:pres	prolonger
jusqu'en	NOM	jusqu'en
janvier	NOM	janvier
.	SENT	.
bien	ADV	bien
entendu	VER:pper	entendre
,	PUN	,
les	DET:ART	le
disciples	NOM	disciple
de	PRP	de
saint	ADJ	saint
pierre	NOM	pierre
ont	VER:pres	avoir
pu	VER:pper	pouvoir
mesurer	VER:infi	mesurer
la	DET:ART	le
somme	NOM	somme
de	PRP	de
travail	NOM	travail
à	PRP	à
accomplir	VER:infi	accomplir
et	KON	et
le	DET:ART	le
temps	NOM	temps
qui	PRO:REL	qui
s'	PRO:PER	se
écoule	VER:pres	écouler
avant	PRP	avant
que	KON	que
la	DET:ART	le
truite	NOM	truite
fario	ADJ	fario
n'	ADV	ne
aille	VER:pres	ailler
rejoindre	VER:infi	rejoindre
les	DET:ART	le
eaux	NOM	eau
de	PRP	de
la	DET:ART	le
chée	NOM	chée
pour	PRP	pour
qu'	PRO:REL	que
ils	PRO:PER	il
puissent	VER:subp	pouvoir
s'	PRO:PER	se
adonner	VER:infi	adonner
à	PRP	à
leur	DET:POS	leur
passe-temps	NOM	passe-temps
favori	ADJ	favori
et	KON	et
la	PRO:PER	la
taquiner	VER:infi	taquiner
.	SENT	.
