chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
à	PRP	à
cette	PRO:DEM	ce
époque	NOM	époque
,	PUN	,
le	DET:ART	le
club	NOM	club
des	PRP:det	du
anciens	NOM	ancien
organise	VER:pres	organiser
son	DET:POS	son
loto	NOM	loto
,	PUN	,
dont	PRO:REL	dont
les	DET:ART	le
bénéfices	NOM	bénéfice
permettront	VER:futu	permettre
de	PRP	de
financer	VER:infi	financer
une	DET:ART	un
partie	NOM	partie
des	PRP:det	du
activités	NOM	activité
courantes	ADJ	courant
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
dans	PRP	dans
la	DET:ART	le
bonne	ADJ	bon
humeur	NOM	humeur
,	PUN	,
plus	ADV	plus
de	PRP	de
quatre-vingts	NUM	quatre-vingts
personnes	NOM	personne
étaient	VER:impf	être
présentes	ADJ	présent
,	PUN	,
attentives	ADJ	attentif
aux	PRP:det	au
numéros	NOM	numéro
tirés	VER:pper	tirer
au	PRP:det	au
sort	NOM	sort
par	PRP	par
nicole	ADJ	nicole
ade	NOM	ade
.	SENT	.
de	PRP	de
son	DET:POS	son
côté	NOM	côté
,	PUN	,
bernard	NOM	bernard
lang	ADJ	lang
assurait	VER:impf	assurer
le	DET:ART	le
contrôle	NOM	contrôle
en	PRP	en
les	DET:ART	le
inscrivant	NOM	inscrivant
sur	PRP	sur
un	DET:ART	un
grand	ADJ	grand
tableau	NOM	tableau
.	SENT	.
le	DET:ART	le
prochain	ADJ	prochain
rendez-vous	NOM	rendez-vous
est	VER:pres	être
fixé	VER:pper	fixer
au	PRP:det	au
samedi	NOM	samedi
15	NUM	@card@
février	NOM	février
,	PUN	,
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
à	PRP	à
côté	NOM	côté
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
pour	PRP	pour
la	DET:ART	le
soirée	NOM	soirée
«	PUN:cit	«
cartes	NOM	carte
».	ADJ	».
