m.	ABR	m.
rené	VER:pper	renaître
mougeolle	NOM	mougeolle
160	NUM	@card@
rue	NOM	rue
en	PRP	en
bel	ADJ	beau
pré	NOM	pré
54200	NUM	@card@
bruley	NOM	bruley
.	SENT	.
cette	PRO:DEM	ce
fois	NOM	foi|fois
,	PUN	,
ça	PRO:DEM	cela
y	PRO:PER	y
est	VER:pres	être
:	PUN	:
le	DET:ART	le
gouvernement	NOM	gouvernement
va	VER:pres	aller
«	PUN:cit	«
attaquer	VER:infi	attaquer
»	PUN:cit	»
le	DET:ART	le
problème	NOM	problème
des	PRP:det	du
retraites	NOM	retraite
.	SENT	.
et	KON	et
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
dans	PRP	dans
ce	PRO:DEM	ce
verbe	NOM	verbe
de	PRP	de
quoi	PRO:REL	quoi
alimenter	VER:infi	alimenter
l'	DET:ART	le
inquiétude	NOM	inquiétude
de	PRP	de
tous	PRO:IND	tout
,	PUN	,
en	PRP	en
dépit	NOM	dépit
des	PRP:det	du
airs	NOM	air
patelins	ADJ	patelin
adoptés	VER:pper	adopter
par	PRP	par
les	DET:ART	le
uns	NOM	un
et	KON	et
les	DET:ART	le
autres	ADJ	autre
.	SENT	.
(...)	NOM	(...)
comment	ADV	comment
se	PRO:PER	se
fait-il	NOM	fait-il
que	KON	que
depuis	PRP	depuis
vingt	NUM	vingt
ans	NOM	an
qu'	PRO:REL	que
on	PRO:PER	on
parle	VER:pres	parler
de	PRP	de
ce	PRO:DEM	ce
sujet	NOM	sujet
,	PUN	,
on	PRO:PER	on
a	VER:pres	avoir
l'	DET:ART	le
impression	NOM	impression
d'	PRP	de
entendre	VER:infi	entendre
toujours	ADV	toujours
la	DET:ART	le
même	ADJ	même
chanson	NOM	chanson
?	SENT	?
allongement	NOM	allongement
du	PRP:det	du
temps	NOM	temps
de	PRP	de
travail	NOM	travail
,	PUN	,
ou	KON	ou
augmentation	NOM	augmentation
des	PRP:det	du
cotisations	NOM	cotisation
,	PUN	,
ou	KON	ou
savant	ADJ	savant
dosage	NOM	dosage
entre	PRP	entre
les	DET:ART	le
deux	NUM	deux
,	PUN	,
avec	PRP	avec
un	DET:ART	un
zeste	NOM	zeste
de	PRP	de
capitalisation	NOM	capitalisation
en	PRP	en
bourse	NOM	bourse
pour	PRP	pour
agrémenter	VER:infi	agrémenter
le	DET:ART	le
breuvage	NOM	breuvage
sinon	KON	sinon
trop	ADV	trop
amer	ADJ	amer
(	PUN	(
et	KON	et
sans	PRP	sans
un	DET:ART	un
mot	NOM	mot
,	PUN	,
naturellement	ADV	naturellement
,	PUN	,
sur	PRP	sur
des	PRP:det	du
dizaines	NOM	dizaine
,	PUN	,
voire	ADV	voire
des	PRP:det	du
centaines	NOM	centaine
de	PRP	de
milliers	NOM	millier
de	PRP	de
retraités	NOM	retraité
anglais	ADJ	anglais
ou	KON	ou
américains	ADJ	américain
traités	NOM	traité
en	PRP	en
bourse	NOM	bourse
et	KON	et
qui	PRO:REL	qui
en	PRO:PER	en
sortent	VER:pres	sortir
dans	PRP	dans
la	DET:ART	le
tenue	NOM	tenue
des	PRP:det	du
bourgeois	ADJ	bourgeois
de	PRP	de
calais	VER:impf	caler
).	VER:pper	).
on	PRO:PER	on
nous	PRO:PER	nous
proposera	VER:futu	proposer
donc	ADV	donc
une	DET:ART	un
réforme	NOM	réforme
par	PRP	par
répartition	NOM	répartition
des	PRP:det	du
efforts	NOM	effort
,	PUN	,
étant	VER:ppre	être
sous-entendu	NOM	sous-entendu
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
france	NOM	france
d'	PRP	de
en	PRP	en
bas	NOM	bas
qui	PRO:REL	qui
doit	VER:pres	devoir
les	PRO:PER	la|le
faire	VER:infi	faire
.	SENT	.
or	NOM	or
,	PUN	,
on	PRO:PER	on
devrait	VER:cond	devoir
partir	VER:infi	partir
du	PRP:det	du
principe	NOM	principe
qu'	PRO:REL	que
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
dans	PRP	dans
ce	PRO:DEM	ce
pays	NOM	pays
comme	KON	comme
dans	PRP	dans
d'	PRP	de
autres	ADJ	autre
,	PUN	,
non	ADV	non
pas	ADV	pas
un	DET:ART	un
problème	NOM	problème
des	PRP:det	du
retraites	NOM	retraite
,	PUN	,
mais	KON	mais
un	DET:ART	un
problème	NOM	problème
des	PRP:det	du
revenus	NOM	revenu
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
dire	VER:infi	dire
du	PRP:det	du
partage	NOM	partage
des	PRP:det	du
richesses	NOM	richesse
.	SENT	.
comme	KON	comme
nous	PRO:PER	nous
vivons	VER:pres	vivre
,	PUN	,
non	ADV	non
pas	ADV	pas
en	PRP	en
démocratie	NOM	démocratie
(	PUN	(
pouvoir	NOM	pouvoir
du	PRP:det	du
peuple	NOM	peuple
)	PUN	)
mais	KON	mais
en	PRP	en
capitalocratie	NOM	capitalocratie
(...),	ADJ	(...),
ce	PRO:DEM	ce
sont	VER:pres	être
les	DET:ART	le
possédants	NOM	possédant
qui	PRO:REL	qui
ont	VER:pres	avoir
seuls	ADJ	seul
,	PUN	,
le	DET:ART	le
pouvoir	NOM	pouvoir
de	PRP	de
partager	VER:infi	partager
le	DET:ART	le
gâteau	NOM	gâteau
.	SENT	.
on	PRO:PER	on
sait	VER:pres	savoir
comment	ADV	comment
cela	PRO:DEM	cela
se	PRO:PER	se
passe	VER:pres	passer
.	SENT	.
comme	ADV	comme
le	DET:ART	le
lion	NOM	lion
de	PRP	de
la	DET:ART	le
fable	NOM	fable
,	PUN	,
les	DET:ART	le
grands	ADJ	grand
prennent	VER:pres	prendre
la	DET:ART	le
première	NUM	premier
et	KON	et
copieuse	ADJ	copieur|copieux
part	NOM	part
:	PUN	:
vous	PRO:PER	vous
connaissez	VER:pres	connaître
les	DET:ART	le
salaires	NOM	salaire
de	PRP	de
nos	DET:POS	notre
grands	ADJ	grand
pdg	NOM	pdg
.	SENT	.
ensuite	ADV	ensuite
,	PUN	,
on	PRO:PER	on
sert	VER:pres	servir
la	DET:ART	le
masse	NOM	masse
anonyme	ADJ	anonyme
des	PRP:det	du
actionnaires	NOM	actionnaire
(...).	ADJ	(...).
si	KON	si
besoin	NOM	besoin
,	PUN	,
pour	PRP	pour
contenter	VER:infi	contenter
ces	PRO:DEM	ce
gourmands	NOM	gourmand
,	PUN	,
on	PRO:PER	on
procède	VER:pres	procéder
aux	PRP:det	au
délocalisations	NOM	délocalisation
d'	PRP	de
entreprises	NOM	entreprise
dans	PRP	dans
les	DET:ART	le
pays	NOM	pays
où	PRO:REL	où
les	DET:ART	le
salariés	NOM	salarié
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
encore	ADV	encore
le	DET:ART	le
droit	NOM	droit
d'	PRP	de
être	VER:infi	être
consommateurs	NOM	consommateur
,	PUN	,
ou	KON	ou
bien	ADV	bien
au	PRP:det	au
dégraissage	NOM	dégraissage
des	PRP:det	du
effectifs	ADJ	effectif
.(...)	NOM	.(...)
mais	KON	mais
les	DET:ART	le
politiques	ADJ	politique
,	PUN	,
direz-vous	ADJ	direz-vous
?	SENT	?
n'	ADV	ne
