hier	ADV	hier
,	PUN	,
vers	PRP	vers
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
le	DET:ART	le
centre	NOM	centre
de	PRP	de
secours	NOM	secours
de	PRP	de
champagney	NOM	champagney
est	VER:pres	être
intervenu	VER:pper	intervenir
au	PRP:det	au
collège	NOM	collège
victor-schoelcher	ADJ	victor-schoelcher
.	SENT	.
une	DET:ART	un
jeune	ADJ	jeune
fille	NOM	fille
de	PRP	de
13	NUM	@card@
ans	NOM	an
,	PUN	,
en	PRP	en
classe	NOM	classe
de	PRP	de
4	NUM	@card@
e,	NOM	e,
était	VER:impf	être
victime	NOM	victime
d'	PRP	de
un	DET:ART	un
léger	ADJ	léger
malaise	NOM	malais|malaise
,	PUN	,
sans	PRP	sans
doute	NOM	doute
du	PRP:det	du
à	PRP	à
une	DET:ART	un
intoxication	NOM	intoxication
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
lure	NOM	lure
.	SENT	.
