«	PUN:cit	«
en	PRP	en
cette	PRO:DEM	ce
période	NOM	période
où	PRO:REL	où
nous	PRO:PER	nous
aimons	VER:pres	aimer
nous	PRO:PER	nous
retrouver	VER:infi	retrouver
en	PRP	en
famille	NOM	famille
et	KON	et
entre	PRP	entre
amis	NOM	ami
afin	KON	afin
de	PRP	de
partager	VER:infi	partager
joie	NOM	joie
et	KON	et
chaleur	NOM	chaleur
,	PUN	,
je	PRO:PER	je
voudrais	VER:cond	vouloir
avoir	VER:infi	avoir
une	DET:ART	un
pensée	NOM	pensée
particulière	ADJ	particulier
pour	PRP	pour
celles	PRO:DEM	celui
et	KON	et
ceux	PRO:DEM	celui
qui	PRO:REL	qui
ont	VER:pres	avoir
parfois	ADV	parfois
la	DET:ART	le
douloureuse	ADJ	douloureux
impression	NOM	impression
d'	PRP	de
être	VER:infi	être
laissés	VER:pper	laisser
de	PRP	de
côté	NOM	côté
par	PRP	par
notre	DET:POS	notre
société	NOM	société
où	PRO:REL	où
règnent	VER:pres	régner
en	PRP	en
maître	NOM	maître
,	PUN	,
individualisme	NOM	individualisme
et	KON	et
indifférence	NOM	indifférence
.	SENT	.
puisse	VER:subp	pouvoir
la	DET:ART	le
nouvelle	ADJ	nouveau
année	NOM	année
qui	PRO:REL	qui
s'	PRO:PER	se
ouvre	VER:pres	ouvrer|ouvrir
leur	PRO:PER	lui
apporter	VER:infi	apporter
le	DET:ART	le
réconfort	NOM	réconfort
et	KON	et
l'	DET:ART	le
amélioration	NOM	amélioration
de	PRP	de
leur	DET:POS	leur
situation	NOM	situation
.	SENT	.
en	PRP	en
simplifiant	VER:ppre	simplifier
l'	DET:ART	le
action	NOM	action
de	PRP	de
l'	DET:ART	le
etat	NOM	etat
pour	PRP	pour
la	PRO:PER	la
rendre	VER:infi	rendre
plus	ADV	plus
efficace	ADJ	efficace
et	KON	et
plus	ADV	plus
lisible	ADJ	lisible
,	PUN	,
en	PRP	en
rapprochant	VER:ppre	rapprocher
les	DET:ART	le
décisions	NOM	décision
des	PRP:det	du
administrés	NOM	administré
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
relance	NOM	relance
du	PRP:det	du
processus	NOM	processus
de	PRP	de
décentralisation	NOM	décentralisation
,	PUN	,
il	PRO:PER	il
me	PRO:PER	me
semble	VER:pres	sembler
que	KON	que
nous	PRO:PER	nous
allons	VER:pres	aller
dans	PRP	dans
le	DET:ART	le
bon	ADJ	bon
sens	NOM	sen|sens
.	SENT	.
beaucoup	ADV	beaucoup
cependant	ADV	cependant
reste	VER:pres	rester
à	PRP	à
faire	VER:infi	faire
,	PUN	,
et	KON	et
qu'	KON	que
il	PRO:PER	il
s'	PRO:PER	se
agisse	VER:subp	agir
de	PRP	de
notre	DET:POS	notre
système	NOM	système
de	PRP	de
santé	NOM	santé
,	PUN	,
des	PRP:det	du
retraites	NOM	retraite
ou	KON	ou
de	PRP	de
la	DET:ART	le
fiscalité	NOM	fiscalité
,	PUN	,
courage	NOM	courage
,	PUN	,
patience	NOM	patience
et	KON	et
confiance	NOM	confiance
seront	VER:futu	être
nécessaires	ADJ	nécessaire
à	PRP	à
chacun	PRO:IND	chacun
d'	PRP	de
entre	PRP	entre
nous	PRO:PER	nous
avant	PRP	avant
de	PRP	de
sortir	VER:infi	sortir
de	PRP	de
l'	DET:ART	le
impasse	NOM	impasse
dans	PRP	dans
laquelle	PRO:REL	lequel
nous	PRO:PER	nous
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
fourvoyés	VER:pper	fourvoyer
ces	PRO:DEM	ce
vingt	NUM	vingt
dernières	ADJ	dernier
années	NOM	année
.	SENT	.
une	DET:ART	un
conjoncture	NOM	conjoncture
économique	ADJ	économique
plus	ADV	plus
favorable	ADJ	favorable
permettrait	VER:cond	permettre
de	PRP	de
disposer	VER:infi	disposer
de	PRP	de
marges	NOM	marge
de	PRP	de
man	NOM	man
	ADJ	
uvres	NOM	uvres
.	SENT	.
malheureusement	ADV	malheureusement
,	PUN	,
la	DET:ART	le
croissance	NOM	croissance
ne	ADV	ne
se	PRO:PER	se
décrète	VER:pres	décréter
pas	ADV	pas
,	PUN	,
et	KON	et
notre	DET:POS	notre
département	NOM	département
subit	ADJ	subit
quelques	PRO:IND	quelque
difficultés	NOM	difficulté
qui	PRO:REL	qui
touchent	VER:pres	toucher
principalement	ADV	principalement
le	DET:ART	le
meuble	NOM	meuble
et	KON	et
le	DET:ART	le
textile	NOM	textile
.	SENT	.
aux	PRP:det	au
vosgiennes	ADJ	vosgien
et	KON	et
vosgiens	ADJ	vosgien
ayant	VER:ppre	avoir
perdu	VER:pper	perdre
leur	DET:POS	leur
emploi	NOM	emploi
ces	PRO:DEM	ce
dernières	ADJ	dernier
semaines	NOM	semaine
,	PUN	,
je	PRO:PER	je
voudrais	VER:cond	vouloir
marquer	VER:infi	marquer
ma	DET:POS	mon
sympathie	NOM	sympathie
et	KON	et
indiquer	VER:infi	indiquer
que	KON	que
tout	ADV	tout
sera	VER:futu	être
mis	VER:pper	mettre
en	PRP	en
	ADJ	
uvre	NOM	uvre
pour	PRP	pour
