tous	PRO:IND	tout
les	DET:ART	le
habitants	NOM	habitant
,	PUN	,
anciens	ADJ	ancien
et	KON	et
nouveaux	ADJ	nouveau
,	PUN	,
nés	VER:pper	naître
en	PRP	en
3	NUM	@card@
et	KON	et
8	NUM	@card@
sont	VER:pres	être
cordialement	ADV	cordialement
invités	VER:pper	inviter
à	PRP	à
participer	VER:infi	participer
aux	PRP:det	au
journées	NOM	journée
des	PRP:det	du
classes	NOM	classe
,	PUN	,
les	DET:ART	le
19	NUM	@card@
et	KON	et
20	NUM	@card@
janvier	NOM	janvier
.	SENT	.
les	DET:ART	le
inscriptions	NOM	inscription
sont	VER:pres	être
prises	VER:pper	prendre
jusqu'au	NOM	jusqu'au
10	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
«	PUN:cit	«
l'	DET:ART	le
hôtel	NOM	hôtel
des	PRP:det	du
voyageurs	ADJ	voyageur
»,	NOM	»,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
43.32	NUM	@card@
.	SENT	.
67	NUM	@card@
