ce	PRO:DEM	ce
vendredi	NOM	vendredi
,	PUN	,
la	DET:ART	le
réunion	NOM	réunion
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
a	VER:pres	avoir
vécu	VER:pper	vivre
une	DET:ART	un
innovation	NOM	innovation
,	PUN	,
avec	PRP	avec
l'	DET:ART	le
invitation	NOM	invitation
et	KON	et
la	DET:ART	le
présence	NOM	présence
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
des	PRP:det	du
jeunes	NOM	jeune
(	PUN	(
cmj	ABR	cmj
).	ABR	).
celui-ci	VER:pper	celui-ci
,	PUN	,
en	PRP	en
la	DET:ART	le
personne	NOM	personne
de	PRP	de
son	DET:POS	son
adjoint	NOM	adjoint
aux	PRP:det	au
sports	NOM	sport
,	PUN	,
alexis	NOM	alexis
rebmann	ADJ	rebmann
,	PUN	,
a	VER:pres	avoir
présenté	VER:pper	présenter
à	PRP	à
l'	DET:ART	le
assemblée	NOM	assemblée
leur	DET:POS	leur
projet	NOM	projet
de	PRP	de
tournoi	NOM	tournoi
de	PRP	de
«	PUN:cit	«
beach-volley	NOM	beach-volley
»	PUN:cit	»
le	DET:ART	le
maire	NOM	maire
adresse	VER:pres	adresser
ses	DET:POS	son
remerciements	NOM	remerciement
appuyés	VER:pper	appuyer
au	PRP:det	au
cmj	NOM	cmj
pour	PRP	pour
les	DET:ART	le
actions	NOM	action
menées	VER:pper	mener
en	PRP	en
2002	NUM	@card@
au	PRP:det	au
service	NOM	service
technique	ADJ	technique
pour	PRP	pour
le	DET:ART	le
travail	NOM	travail
de	PRP	de
déneigement	NOM	déneigement
,	PUN	,
au	PRP:det	au
service	NOM	service
administratif	ADJ	administratif
pour	PRP	pour
les	DET:ART	le
charges	NOM	charge
de	PRP	de
travail	NOM	travail
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
auquel	PRO:REL	auquel
s'	PRO:PER	se
ajoute	VER:pres	ajouter
des	PRP:det	du
soucis	NOM	souci
informatique	ADJ	informatique
.	SENT	.
une	DET:ART	un
surtaxe	NOM	surtaxe
est	VER:pres	être
votée	VER:pper	voter
pour	PRP	pour
équilibrer	VER:infi	équilibrer
les	DET:ART	le
budgets	NOM	budget
eau	NOM	eau
et	KON	et
assainissement	NOM	assainissement
afin	KON	afin
de	PRP	de
respecter	VER:infi	respecter
la	DET:ART	le
règle	NOM	règle
comptable	ADJ	comptable
qui	PRO:REL	qui
régie	VER:pper	régir
les	DET:ART	le
collectivités	NOM	collectivité
locales	ADJ	local
.	SENT	.
celle-ci	NOM	celle-ci
sera	VER:futu	être
de	PRP	de
11	NUM	@card@
centimes	NOM	centime
d'	ADJ	d'
par	PRP	par
m	NOM	m
3	NUM	@card@
d'	PRP	de
eau	NOM	eau
consommée	VER:pper	consommer
par	PRP	par
les	DET:ART	le
gros	ADJ	gros
consommateurs	NOM	consommateur
de	PRP	de
plus	ADV	plus
de	PRP	de
10.000	NUM	@card@
m	NOM	m
3/	NUM	@card@
an	NOM	an
.	SENT	.
placement	NOM	placement
de	PRP	de
trésorerie	NOM	trésorerie
d'	PRP	de
excédent	NOM	excédent
au	PRP:det	au
budget	NOM	budget
communal	ADJ	communal
pour	PRP	pour
une	DET:ART	un
somme	NOM	somme
de	PRP	de
1.500	NUM	@card@
.	SENT	.
000	NUM	@card@
	NOM	
en	PRP	en
bons	NOM	bon
du	PRP:det	du
trésor	NOM	trésor
avec	PRP	avec
taux	NOM	tau|taux
fixe	ADJ	fixe
.	SENT	.
convention	NOM	convention
à	PRP	à
