mme	VER:cond	mme
yvonne	ADJ	yvonne
bole	NOM	bole
du	PRP:det	du
chomont	VER:futu	chomont
lieu-dit	NOM	lieu-dit
«	PUN:cit	«
les	DET:ART	le
craies	NOM	craie
»	PUN:cit	»
25690	NUM	@card@
avoudrey	NOM	avoudrey
.	SENT	.
etant	VER:ppre	etant
une	DET:ART	un
fidèle	ADJ	fidèle
lectrice	NOM	lecteur
de	PRP	de
votre	DET:POS	votre
journal	NOM	journal
depuis	PRP	depuis
bientôt	ADV	bientôt
cinquante-six	NUM	cinquante-six
ans	NOM	an
,	PUN	,
je	PRO:PER	je
lis	VER:pres	lire
tous	PRO:IND	tout
les	DET:ART	le
lundis	NOM	lundi
la	DET:ART	le
page	NOM	page
«	PUN:cit	«
dialogue	NOM	dialogue
»,	ADJ	»,
et	KON	et
je	PRO:PER	je
veux	VER:pres	vouloir
réagir	VER:infi	réagir
aux	PRP:det	au
propos	NOM	propos
du	PRP:det	du
nouveau	ADJ	nouveau
ministre	NOM	ministre
de	PRP	de
l'	DET:ART	le
education	NOM	education
nationale	ADJ	national
disant	VER:ppre	dire
que	KON	que
80	NUM	@card@
%	SYM	%
s'	PRO:PER	se
étaient	VER:impf	être
ennuyés	VER:pper	ennuyer
à	PRP	à
l'	DET:ART	le
école	NOM	école
comme	KON	comme
des	PRP:det	du
rats	NOM	rat
morts	ADJ	mort
,	PUN	,
dont	PRO:REL	dont
lui	PRO:PER	lui
sûrement	ADV	sûrement
.	SENT	.
je	PRO:PER	je
suis	VER:pres	suivre|être
allée	VER:pper	aller
à	PRP	à
l'	DET:ART	le
école	NOM	école
,	PUN	,
que	KON	que
j'	PRO:PER	je
ai	VER:pres	avoir
quittée	VER:pper	quitter
à	PRP	à
regret	NOM	regret
à	PRP	à
12	NUM	@card@
ans	NOM	an
,	PUN	,
après	PRP	après
mon	DET:POS	mon
certificat	NOM	certificat
d'	PRP	de
études	NOM	étude
.	SENT	.
etant	VER:ppre	etant
à	PRP	à
la	DET:ART	le
campagne	NOM	campagne
,	PUN	,
nous	PRO:PER	nous
n'	ADV	ne
avions	VER:impf	avoir
pas	ADV	pas
la	DET:ART	le
possibilité	NOM	possibilité
de	PRP	de
continuer	VER:infi	continuer
et	KON	et
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
du	PRP:det	du
travail	NOM	travail
pour	PRP	pour
tous	PRO:IND	tout
dans	PRP	dans
l'	DET:ART	le
horlogerie	NOM	horlogerie
.	SENT	.
mais	KON	mais
je	PRO:PER	je
veux	VER:pres	vouloir
dire	VER:infi	dire
que	KON	que
quand	KON	quand
je	PRO:PER	je
retrouve	VER:pres	retrouver
mes	DET:POS	mon
copines	NOM	copine
d'	PRP	de
école	NOM	école
,	PUN	,
toutes	PRO:IND	tout
octogénaires	NOM	octogénaire
comme	KON	comme
moi	PRO:PER	moi
,	PUN	,
nous	PRO:PER	nous
n'	ADV	ne
avons	VER:pres	avoir
que	KON	que
de	PRP	de
bons	ADJ	bon
souvenirs	NOM	souvenir
et	KON	et
nous	PRO:PER	nous
en	PRO:PER	en
rions	VER:pres	rire
encore	ADV	encore
.	SENT	.
pourtant	ADV	pourtant
,	PUN	,
on	PRO:PER	on
avait	VER:impf	avoir
une	DET:ART	un
institutrice	NOM	instituteur
,	PUN	,
bonne	ADJ	bon
mais	KON	mais
sévère	ADJ	sévère
,	PUN	,
mais	KON	mais
on	PRO:PER	on
la	PRO:PER	la
respectait	VER:impf	respecter
et	KON	et
nos	DET:POS	notre
parents	NOM	parent|parents
aussi	ADV	aussi
.	SENT	.
on	PRO:PER	on
ne	ADV	ne
s'	PRO:PER	se
ennuyait	VER:impf	ennuyer
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
mais	KON	mais
on	PRO:PER	on
travaillait	VER:impf	travailler
pour	PRP	pour
avoir	VER:infi	avoir
un	DET:ART	un
simple	ADJ	simple
cep	NOM	cep
qui	PRO:REL	qui
était	VER:impf	être
important	ADJ	important
pour	PRP	pour
nous	PRO:PER	nous
.	SENT	.
