l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
yolande	ADJ	yolande
prud'homme	NOM	prud'homme
,	PUN	,
12	NUM	@card@
rue	NOM	rue
du	PRP:det	du
clos-gérard	NOM	clos-gérard
,	PUN	,
tél/fax	NOM	tél/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.65	NUM	@card@
.	SENT	.
57	NUM	@card@
à	PRP	à
seuil	NOM	seuil
d'	PRP	de
argonne	NOM	argonne
.	SENT	.
club	NOM	club
des	PRP:det	du
hirondelles	NOM	hirondelle
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
et	KON	et
tirage	NOM	tirage
des	PRP:det	du
rois	NOM	roi
à	PRP	à
la	DET:ART	le
nouvelle	ADJ	nouveau
salle	NOM	salle
communale	ADJ	communal
.	SENT	.
admr	NOM	admr
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
2	NUM	@card@
rue	NOM	rue
du	PRP:det	du
cdt	NOM	cdt
laflotte	ADJ	laflotte
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.65	NUM	@card@
.	SENT	.
16	NUM	@card@
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
tri	NOM	tri
sélectif	ADJ	sélectif
:	PUN	:
pensez	VER:pres	penser
à	PRP	à
sortir	VER:infi	sortir
vos	DET:POS	votre
caissettes	NOM	caissette
jaunes	ADJ	jaune
.	SENT	.
secrétariat	NOM	secrétariat
diocésain	ADJ	diocésain
:	PUN	:
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.71	NUM	@card@
.	SENT	.
06	NUM	@card@
