visitez	VER:pres	visiter
le	DET:ART	le
parc	NOM	parc
du	PRP:det	du
chien	NOM	chien
polaire	ADJ	polaire
:	PUN	:
dans	PRP	dans
le	DET:ART	le
chéquier	NOM	chéquier
avantage	VER:pres	avantager
jeunes	ADJ	jeune
du	PRP:det	du
pack	NOM	pack
avantages	NOM	avantage
jeunes	ADJ	jeune
,	PUN	,
le	DET:ART	le
parc	NOM	parc
du	PRP:det	du
chien	NOM	chien
polaire	ADJ	polaire
à	PRP	à
chaux-neuve	NOM	chaux-neuve
«	PUN:cit	«
une	DET:ART	un
meute	NOM	meute
entre	PRP	entre
chien	NOM	chien
et	KON	et
loup	NOM	loup
»	PUN:cit	»
vous	PRO:PER	vous
offre	VER:pres	offrir
une	DET:ART	un
entrée	NOM	entrée
gratuite	ADJ	gratuit
au	PRP:det	au
parc	NOM	parc
.	SENT	.
a	VER:pres	avoir
découvrir	VER:infi	découvrir
absolument	ADV	absolument
.	SENT	.
concernant	VER:ppre	concerner
les	DET:ART	le
horaires	NOM	horaire
d'	PRP	de
ouverture	NOM	ouverture
au	PRP:det	au
public	NOM	public
,	PUN	,
merci	NOM	merci
de	PRP	de
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
69.20	NUM	@card@
.	SENT	.
20	NUM	@card@
direction	NOM	direction
:	PUN	:
pontarlier	NOM	pontarlier
,	PUN	,
mouthe	NOM	mouthe
,	PUN	,
chaux-neuve	NOM	chaux-neuve
,	PUN	,
route	NOM	route
départementale	ADJ	départemental
d	VER:simp	d
46	NUM	@card@
(	PUN	(
direction	NOM	direction
chapelle-des-bois	NOM	chapelle-des-bois
).	VER:subi	).
bon	ADJ	bon
plan	NOM	plan
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
la	DET:ART	le
presse	NOM	presse
:	PUN	:
la	DET:ART	le
maison	NOM	maison
de	PRP	de
la	DET:ART	le
presse	NOM	presse
de	PRP	de
besançon	NOM	besançon
vous	PRO:PER	vous
offre	VER:pres	offrir
