a	VER:pres	avoir
partir	VER:infi	partir
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
,	PUN	,
colette	NOM	colette
auvray	NOM	auvray
cessera	VER:futu	cesser
ses	DET:POS	son
activités	NOM	activité
caricatives	ADJ	caricatives
pour	PRP	pour
raisons	NOM	raison
de	PRP	de
santé	NOM	santé
.	SENT	.
la	DET:ART	le
collecte	NOM	collecte
des	PRP:det	du
bouchons	NOM	bouchon
de	PRP	de
l'	DET:ART	le
association	NOM	association
jean-marie	NOM	jean-marie
bigard	ADJ	bigard
,	PUN	,
ainsi	KON	ainsi
que	KON	que
le	DET:ART	le
ramassage	NOM	ramassage
des	PRP:det	du
papiers	NOM	papier
par	PRP	par
l'	DET:ART	le
association	NOM	association
de	PRP	de
thise	NOM	thise
ne	ADV	ne
s'	PRO:PER	se
effectueront	VER:futu	effectuer
plus	ADV	plus
à	PRP	à
bonnay	ADJ	bonnay
.	SENT	.
