hier	ADV	hier
soir	NOM	soir
,	PUN	,
aux	PRP:det	au
environs	NOM	environ|environs
de	PRP	de
20	NUM	@card@
h	ABR	heure
,	PUN	,
la	DET:ART	le
gendarmerie	NOM	gendarmerie
et	KON	et
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
neufchâteau	NOM	neufchâteau
se	PRO:PER	se
sont	VER:pres	être
rendus	VER:pper	rendre
à	PRP	à
rouvres-les-chétive	ADJ	rouvres-les-chétive
suite	NOM	suite
au	PRP:det	au
signalement	NOM	signalement
d'	PRP	de
une	DET:ART	un
voiture	NOM	voiture
accidentée	ADJ	accidenté
.	SENT	.
arrivés	VER:pper	arriver
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
constaté	VER:pper	constater
que	KON	que
l'	DET:ART	le
habitacle	NOM	habitacle
du	PRP:det	du
véhicule	NOM	véhicule
était	VER:impf	être
vide	ADJ	vide
.	SENT	.
