chaque	PRO:IND	chaque
lundi	NOM	lundi
soir	NOM	soir
,	PUN	,
après	PRP	après
le	DET:ART	le
goûter	NOM	goûter
,	PUN	,
douze	NUM	douze
jeunes	NOM	jeune
sportifs	ADJ	sportif
et	KON	et
sportives	ADJ	sportif
de	PRP	de
4	NUM	@card@
à	PRP	à
9	NUM	@card@
ans	NOM	an
viennent	VER:pres	venir
se	PRO:PER	se
retrouver	VER:infi	retrouver
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
un	DET:ART	un
cours	NOM	cour|cours
de	PRP	de
gymnastique	NOM	gymnastique
spécial	ADJ	spécial
enfants	NOM	enfant
a	VER:pres	avoir
été	VER:pper	être
organisé	VER:pper	organiser
pour	PRP	pour
ceux	PRO:DEM	celui
qui	PRO:REL	qui
ne	ADV	ne
pratiquent	VER:pres	pratiquer
ni	KON	ni
le	DET:ART	le
foot	NOM	foot
,	PUN	,
ni	KON	ni
le	DET:ART	le
judo	NOM	judo
.	SENT	.
l'	DET:ART	le
âge	NOM	âge
est	VER:pres	être
très	ADV	très
bas	ADV	bas
mais	KON	mais
le	DET:ART	le
c	ADJ	c
	NOM	
eur	VER:subi	eur
y	PRO:PER	y
est	VER:pres	être
.	SENT	.
une	DET:ART	un
monitrice	NOM	moniteur
diplômée	ADJ	diplômé
s'	PRO:PER	se
occupe	VER:pres	occuper
d'	PRP	de
eux	PRO:PER	eux
en	PRO:PER	en
étant	VER:ppre	être
aidée	VER:pper	aider
par	PRP	par
une	DET:ART	un
maman	NOM	maman
bénévole	ADJ	bénévole
.	SENT	.
et	KON	et
il	PRO:PER	il
faut	VER:pres	falloir
voir	VER:infi	voir
quelle	PRO:REL	quel
énergie	NOM	énergie
ils	PRO:PER	il
mettent	VER:pres	mettre
à	PRP	à
exécuter	VER:infi	exécuter
les	DET:ART	le
mouvements	NOM	mouvement
,	PUN	,
bien	ADV	bien
souvent	ADV	souvent
présentés	VER:pper	présenter
sous	PRP	sous
forme	NOM	forme
de	PRP	de
jeux	NOM	jeu
.	SENT	.
ils	PRO:PER	il
ont	VER:pres	avoir
le	DET:ART	le
souci	NOM	souci
de	PRP	de
les	PRO:PER	la|le
réaliser	VER:infi	réaliser
aussi	ADV	aussi
bien	ADV	bien
que	KON	que
des	PRP:det	du
grands	ADJ	grand
.	SENT	.
on	PRO:PER	on
peut	VER:pres	pouvoir
encore	ADV	encore
faire	VER:infi	faire
inscrire	VER:infi	inscrire
son	DET:POS	son
enfant	NOM	enfant
en	PRP	en
se	PRO:PER	se
présentant	VER:ppre	présenter
au	PRP:det	au
gmnase	NOM	gmnase
le	DET:ART	le
lundi	NOM	lundi
à	PRP	à
17	NUM	@card@
h.	ABR	h.
