l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
-	PUN	-
yolande	ADJ	yolande
prud'homme	NOM	prud'homme
12	NUM	@card@
rue	NOM	rue
du	PRP:det	du
clos-gérard	NOM	clos-gérard
,	PUN	,
à	PRP	à
seuil	NOM	seuil
d'	PRP	de
argonne	NOM	argonne
,	PUN	,
tél-fax	NOM	tél-fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.65	NUM	@card@
.	SENT	.
57	NUM	@card@
permanences	NOM	permanence
:	PUN	:
-	PUN	-
club	NOM	club
saint-nicolas	NOM	saint-nicolas
:	PUN	:
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
-	PUN	-
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
