dans	PRP	dans
moins	ADV	moins
d'	PRP	de
un	DET:ART	un
mois	NOM	moi|mois
,	PUN	,
le	DET:ART	le
tri	NOM	tri
sélectif	ADJ	sélectif
au	PRP:det	au
porte	NOM	porte
à	PRP	à
porte	NOM	porte
sera	VER:futu	être
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
sur	PRP	sur
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
du	PRP:det	du
grand	ADJ	grand
valmon	NOM	valmon
.	SENT	.
afin	KON	afin
d'	PRP	de
informer	VER:infi	informer
les	DET:ART	le
habitants	NOM	habitant
sur	PRP	sur
les	DET:ART	le
modalités	NOM	modalité
pratiques	ADJ	pratique
de	PRP	de
cette	PRO:DEM	ce
opération	NOM	opération
,	PUN	,
la	DET:ART	le
communauté	NOM	communauté
organise	VER:pres	organiser
en	PRP	en
lien	NOM	lien
avec	PRP	avec
les	DET:ART	le
différentes	ADJ	différent
municipalités	NOM	municipalité
des	PRP:det	du
réunions	NOM	réunion
.	SENT	.
en	PRP	en
voici	ADV	voici
les	DET:ART	le
lieux	NOM	lieu
et	KON	et
dates	NOM	date
:	PUN	:
autreville	NOM	autreville
:	PUN	:
samedi	NOM	samedi
22	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
bezaumont	NOM	bezaumont
:	PUN	:
vendredi	NOM	vendredi
21	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
landremont	NOM	landremont
:	PUN	:
lundi	NOM	lundi
17	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
loisy	NOM	loisy
:	PUN	:
mercredi	NOM	mercredi
19	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
du	PRP:det	du
couarail	NOM	couarail
;	PUN	;
et	KON	et
jeudi	NOM	jeudi
6	NUM	@card@
mars	NOM	mars
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
du	PRP:det	du
couarail	NOM	couarail
.	SENT	.
millery	NOM	millery
:	PUN	:
mercredi	NOM	mercredi
26	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
ste-genevieve	NOM	ste-genevieve
:	PUN	:
jeudi	NOM	jeudi
20	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
ville-au-val	ADJ	ville-au-val
:	PUN	:
vendredi	NOM	vendredi
14	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
