l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
-	PUN	-
annie	VER:pper	annie
porteu	NOM	porteu
,	PUN	,
1	NUM	@card@
rue	NOM	rue
de	PRP	de
fleury	NOM	fleury
55220	NUM	@card@
ippécourt	NOM	ippécourt
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
80.53	NUM	@card@
.	SENT	.
58	NUM	@card@
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
80.55	NUM	@card@
.	SENT	.
49	NUM	@card@
permanences	NOM	permanence
:	PUN	:
-	PUN	-
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
amblaincourt	ADJ	amblaincourt
,	PUN	,
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
deuxnouds	NOM	deuxnouds
et	KON	et
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
beauzée-sur-aire	NOM	beauzée-sur-aire
.	SENT	.
-	PUN	-
trésorerie	NOM	trésorerie
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h.	ABR	h.
-	PUN	-
la	DET:ART	le
poste	NOM	poste
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h.	ABR	h.
maison	NOM	maison
des	PRP:det	du
services	NOM	service
:	PUN	:
-	PUN	-
codecom	NOM	codecom
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.61	NUM	@card@
.	SENT	.
17	NUM	@card@
-	PUN	-
syndicat	NOM	syndicat
des	PRP:det	du
eaux	NOM	eau
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.60	NUM	@card@
.	SENT	.
23	NUM	@card@
