hier	ADV	hier
à	PRP	à
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
agnès	NOM	agnès
petit-prêtre	ADJ	petit-prêtre
maire-adjointe	NOM	maire-adjointe
a	VER:pres	avoir
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
d'	PRP	de
amar	NOM	amar
yagoub	NOM	yagoub
,	PUN	,
sans	PRP	sans
profession	NOM	profession
,	PUN	,
avec	PRP	avec
laetitia	NOM	laetitia
durecu	ADJ	durecu
,	PUN	,
mère	NOM	mère
au	PRP:det	au
foyer	NOM	foyer
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
voeux	NOM	vœu
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
