m.	ABR	m.
jean	NOM	jean
nicolet	NOM	nicolet
43	NUM	@card@
rue	NOM	rue
a.	VER:subi	a.
thomas	NOM	thomas
25700	NUM	@card@
valentigney	NOM	valentigney
bush	NOM	bush
a	VER:pres	avoir
reçu	VER:pper	recevoir
l'	DET:ART	le
illumination	NOM	illumination
,	PUN	,
son	DET:POS	son
destin	NOM	destin
est	VER:pres	être
tracé	VER:pper	tracer
:	PUN	:
libérer	VER:infi	libérer
le	DET:ART	le
monde	NOM	monde
de	PRP	de
ses	DET:POS	son
méchants	NOM	méchant
.	SENT	.
pas	ADV	pas
n'	ADV	ne
importe	VER:pres	importer
lesquels	PRO:REL	lequel
,	PUN	,
seulement	ADV	seulement
ceux	PRO:DEM	celui
qui	PRO:REL	qui
sont	VER:pres	être
affaiblis	VER:pper	affaiblir
par	PRP	par
deux	NUM	deux
guerres	NOM	guerre
,	PUN	,
par	PRP	par
des	PRP:det	du
années	NOM	année
de	PRP	de
privation	NOM	privation
et	KON	et
empoisonnés	VER:pper	empoisonner
à	PRP	à
l'	DET:ART	le
uranium	NOM	uranium
appauvri	VER:pper	appauvrir
.	SENT	.
la	DET:ART	le
chaîne	NOM	chaîne
arte	NOM	arte
a	VER:pres	avoir
diffusé	VER:pper	diffuser
,	PUN	,
le	DET:ART	le
8	NUM	@card@
janvier	NOM	janvier
2003	NUM	@card@
un	DET:ART	un
documentaire	NOM	documentaire
sur	PRP	sur
«	PUN:cit	«
les	DET:ART	le
dessous	NOM	dessous
de	PRP	de
la	DET:ART	le
guerre	NOM	guerre
du	PRP:det	du
golf	NOM	golf
»,	ADJ	»,
édifiant	VER:ppre	édifier
sur	PRP	sur
le	DET:ART	le
degré	NOM	degré
d'	PRP	de
immoralité	NOM	immoralité
atteint	VER:pper	atteindre
par	PRP	par
les	DET:ART	le
etats-unis	NOM	etats-unis
et	KON	et
ses	DET:POS	son
alliés	NOM	allié
,	PUN	,
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
conduits	VER:pper	conduire
et	KON	et
se	PRO:PER	se
conduisent	VER:pres	conduire
encore	ADV	encore
comme	ADV	comme
des	PRP:det	du
prédateurs	NOM	prédateur
cyniques	ADJ	cynique
et	KON	et
calculateurs	ADJ	calculateur
.	SENT	.
je	PRO:PER	je
souhaite	VER:pres	souhaiter
et	KON	et
j'	PRO:PER	je
espère	VER:pres	espérer
que	KON	que
la	DET:ART	le
communauté	NOM	communauté
internationale	ADJ	international
et	KON	et
la	DET:ART	le
france	NOM	france
en	PRP	en
particulier	NOM	particulier
,	PUN	,
ne	ADV	ne
cautionnent	VER:pres	cautionner
pas	ADV	pas
et	KON	et
ne	ADV	ne
participent	VER:pres	participer
pas	ADV	pas
,	PUN	,
même	ADV	même
avec	PRP	avec
l'	DET:ART	le
aval	NOM	aval
d'	PRP	de
une	DET:ART	un
onu	NOM	onu
complaisante	ADJ	complaisant
,	PUN	,
à	PRP	à
la	DET:ART	le
poursuite	NOM	poursuite
et	KON	et
au	PRP:det	au
final	ADJ	final
de	PRP	de
l'	DET:ART	le
éradication	NOM	éradication
de	PRP	de
l'	DET:ART	le
irak	NOM	irak
et	KON	et
au	PRP:det	au
génocide	NOM	génocide
de	PRP	de
sa	DET:POS	son
population	NOM	population
,	PUN	,
tout	PRO:IND	tout
cela	PRO:DEM	cela
dans	PRP	dans
l'	DET:ART	le
odeur	NOM	odeur
puante	ADJ	puant
de	PRP	de
l'	DET:ART	le
argent	NOM	argent
,	PUN	,
des	PRP:det	du
armes	NOM	arme
et	KON	et
du	PRP:det	du
pétrole	NOM	pétrole
.	SENT	.
dans	PRP	dans
quelques	PRO:IND	quelque
années	NOM	année
,	PUN	,
nous	PRO:PER	nous
verrons	VER:futu	voir
peut-être	ADV	peut-être
ces	PRO:DEM	ce
chefs	NOM	chef
de	PRP	de
guerre	NOM	guerre
,	PUN	,
malades	ADJ	malade
de	PRP	de
leur	DET:POS	leur
ego	NOM	ego
,	PUN	,
assis	VER:pper	asseoir
sur	PRP	sur
les	DET:ART	le
bancs	NOM	banc
du	PRP:det	du
tpi	NOM	tpi
?	SENT	?
mais	KON	mais
ça	PRO:DEM	cela
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
rêve	NOM	rêve
,	PUN	,
ils	PRO:PER	il
se	PRO:PER	se
sont	VER:pres	être
déjà	ADV	déjà
auto-absous	ADJ	auto-absous
.	SENT	.
