anteuil	NOM	anteuil
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
11	NUM	@card@
h.	ABR	h.
baume-les-dames	NOM	baume-les-dames
:	PUN	:
samedi	NOM	samedi
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
à	PRP	à
10	NUM	@card@
h.	ABR	h.
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
clerval	NOM	clerval
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
cour	NOM	cour
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
courtetain	NOM	courtetain
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
fontaine-lès-clerval	NOM	fontaine-lès-clerval
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h.	ABR	h.
fuans	NOM	fuans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
huanne	NOM	huanne
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
la	DET:ART	le
bareche	NOM	bareche
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
landresse	NOM	landresse
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
monts-de-villers	NOM	monts-de-villers
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
pierrefontaine-les-varans	NOM	pierrefontaine-les-varans
:	PUN	:
samedi	NOM	samedi
à	PRP	à
19	NUM	@card@
h.	ABR	h.
plaimbois-vennes	ADJ	plaimbois-vennes
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
servin	NOM	servin
:	PUN	:
samedi	NOM	samedi
à	PRP	à
19	NUM	@card@
h	ABR	heure
45	NUM	@card@
valdahon	NOM	valdahon
:	PUN	:
samedi	NOM	samedi
à	PRP	à
19	NUM	@card@
h	ABR	heure
;	PUN	;
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
vercel	NOM	vercel
:	PUN	:
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h.	ABR	h.
vernierfontaine	NOM	vernierfontaine
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
villers-saint-martin	NOM	villers-saint-martin
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
