m.	ABR	m.
joël	NAM	Joël
bastien	ADJ	bastien
,	PUN	,
le	DET:ART	le
boulanger	NOM	boulanger
du	PRP:det	du
village	NOM	village
,	PUN	,
informe	VER:pres	informer
sa	DET:POS	son
clientèle	NOM	clientèle
que	KON	que
le	DET:ART	le
magasin	NOM	magasin
sera	VER:futu	être
fermé	VER:pper	fermer
et	KON	et
que	KON	que
la	DET:ART	le
tournée	NOM	tournée
n'	ADV	ne
aura	VER:futu	avoir
pas	ADV	pas
lieu	NOM	lieu
du	PRP:det	du
lundi	NOM	lundi
3	NUM	@card@
février	NOM	février
au	PRP:det	au
vendredi	NOM	vendredi
7	NUM	@card@
février	NOM	février
.	SENT	.
reprise	NOM	reprise
normale	ADJ	normal
le	DET:ART	le
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
.	SENT	.
merci	NOM	merci
de	PRP	de
votre	DET:POS	votre
compréhension	NOM	compréhension
.	SENT	.
