profitant	VER:ppre	profiter
des	PRP:det	du
vacances	NOM	vacance
scolaires	ADJ	scolaire
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
des	PRP:det	du
jeunes	NOM	jeune
franoisiens	ADJ	franoisiens
avait	VER:impf	avoir
convié	VER:pper	convier
au	PRP:det	au
gymnase	NOM	gymnase
municipal	ADJ	municipal
les	DET:ART	le
ados	NOM	ado|ados
désirant	ADJ	désirant
se	PRO:PER	se
détendre	VER:infi	détendre
par	PRP	par
le	DET:ART	le
sport	NOM	sport
.	SENT	.
bénédicte	ADJ	bénédicte
leclerc	NOM	leclerc
,	PUN	,
janine	NOM	janine
paupe	ADJ	paupe
,	PUN	,
chantal	ADJ	chantal
viard	NOM	viard
,	PUN	,
conseillères	NOM	conseiller
municipales	ADJ	municipal
,	PUN	,
suivaient	VER:impf	suivre
leurs	DET:POS	leur
ébats	NOM	ébat
.	SENT	.
le	DET:ART	le
badminton	NOM	badminton
a	VER:pres	avoir
été	VER:pper	être
le	DET:ART	le
jeu	NOM	jeu
le	DET:ART	le
plus	ADV	plus
prisé	VER:pper	priser
sur	PRP	sur
les	DET:ART	le
2	NUM	@card@
terrains	NOM	terrain
qui	PRO:REL	qui
avaient	VER:impf	avoir
été	VER:pper	être
préparés	VER:pper	préparer
.	SENT	.
le	DET:ART	le
tennis	NOM	tennis
et	KON	et
le	DET:ART	le
tennis	NOM	tennis
de	PRP	de
table	NOM	table
ont	VER:pres	avoir
tenté	VER:pper	tenter
les	DET:ART	le
raquettes	NOM	raquette
déjà	ADV	déjà
bien	ADV	bien
exercées	VER:pper	exercer
tandis	KON	tandis
que	KON	que
le	DET:ART	le
basket	NOM	basket
permettait	VER:impf	permettre
de	PRP	de
mesurer	VER:infi	mesurer
l'	DET:ART	le
adresse	NOM	adresse
des	PRP:det	du
lanceurs	NOM	lanceur
.	SENT	.
pour	PRP	pour
consacrer	VER:infi	consacrer
la	DET:ART	le
convivialité	NOM	convivialité
régnante	ADJ	régnant
,	PUN	,
les	DET:ART	le
sportifs	NOM	sportif
en	PRP	en
herbe	NOM	herbe
ont	VER:pres	avoir
apprécié	VER:pper	apprécier
le	DET:ART	le
goûter	NOM	goûter
qui	PRO:REL	qui
leur	PRO:PER	lui
était	VER:impf	être
offert	VER:pper	offrir
.	SENT	.
