pour	PRP	pour
tout	ADV	tout
connaître	VER:infi	connaître
sur	PRP	sur
les	DET:ART	le
activités	NOM	activité
au	PRP:det	au
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
et	KON	et
la	DET:ART	le
navette	NOM	navette
bus	VER:pper	boire
neige	NOM	neige
,	PUN	,
un	DET:ART	un
stand	NOM	stand
informe	VER:pres	informer
les	DET:ART	le
usagers	NOM	usager
à	PRP	à
la	DET:ART	le
galerie	NOM	galerie
«	PUN:cit	«
les	DET:ART	le
faubourg	NOM	faubourg
»,	ADJ	»,
à	PRP	à
belfort	NOM	belfort
,	PUN	,
aujourd'hui	ADV	aujourd'hui
toute	PRO:IND	tout
la	DET:ART	le
journée	NOM	journée
.	SENT	.
ce	PRO:DEM	ce
stand	NOM	stand
a	VER:pres	avoir
été	VER:pper	être
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
hier	ADV	hier
.	SENT	.
ski	NOM	ski
alpin	ADJ	alpin
:	PUN	:
15	NUM	@card@
pistes	NOM	piste
,	PUN	,
11	NUM	@card@
remontées	NOM	remontée
et	KON	et
deux	NUM	deux
fils	NOM	fil|fils
neige	NOM	neige
sont	VER:pres	être
disponibles	ADJ	disponible
au	PRP:det	au
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
.	SENT	.
accueil	NOM	accueil
et	KON	et
vente	NOM	vente
des	PRP:det	du
forfaits	NOM	forfait
aux	PRP:det	au
trois	NUM	trois
caisses	NOM	caisse
ouvertes	VER:pper	ouvrir
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
possibilité	NOM	possibilité
d'	PRP	de
acheter	VER:infi	acheter
à	PRP	à
l'	DET:ART	le
école	NOM	école
de	PRP	de
ski	NOM	ski
une	DET:ART	un
assurance	NOM	assurance
saison	NOM	saison
et	KON	et
des	PRP:det	du
forfaits	NOM	forfait
ou	KON	ou
des	PRP:det	du
billets	NOM	billet
à	PRP	à
la	DET:ART	le
journée	NOM	journée
ou	KON	ou
la	DET:ART	le
demi-journée	NOM	demi-journée
.	SENT	.
informations	NOM	information
aux	PRP:det	au
téléskis	NOM	téléski
