«	PUN:cit	«
les	DET:ART	le
ateliers	NOM	atelier
du	PRP:det	du
jeudi	NOM	jeudi
»,	ADJ	»,
pour	PRP	pour
la	DET:ART	le
classe	NOM	classe
maternelle	ADJ	maternel
d'	PRP	de
anne-laure	NOM	anne-laure
gauthier	NOM	gauthier
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
participation	NOM	participation
à	PRP	à
tour	NOM	tour
de	PRP	de
rôles	NOM	rôle
de	PRP	de
mamans	NOM	maman
volontaires	ADJ	volontaire
qui	PRO:REL	qui
,	PUN	,
en	PRP	en
fonction	NOM	fonction
de	PRP	de
leurs	DET:POS	leur
compétences	NOM	compétence
,	PUN	,
de	PRP	de
leurs	DET:POS	leur
talents	NOM	talent
,	PUN	,
animent	VER:pres	animer
des	PRP:det	du
sessions	NOM	session
bricolage	NOM	bricolage
,	PUN	,
couture	NOM	couture
,	PUN	,
peinture	NOM	peinture
,	PUN	,
etc	ABR	etc
...	PUN	...
jeudi	NOM	jeudi
c'	PRO:DEM	ce
était	VER:impf	être
au	PRP:det	au
tour	NOM	tour
de	PRP	de
la	DET:ART	le
maman	NOM	maman
d'	PRP	de
iris	NOM	iris
,	PUN	,
marie-eve	NOM	marie-eve
thiry	NOM	thiry
,	PUN	,
conteuse	NOM	conteur
professionnelle	ADJ	professionnel
,	PUN	,
d'	PRP	de
offrir	VER:infi	offrir
aux	PRP:det	au
bambins	NOM	bambin
une	DET:ART	un
belle	ADJ	beau
part	NOM	part
de	PRP	de
rêve	NOM	rêve
.	SENT	.
un	DET:ART	un
cocktail	NOM	cocktail
d'	PRP	de
histoires	NOM	histoire
fantastiques	ADJ	fantastique
toutes	PRO:IND	tout
inspirées	VER:pper	inspirer
de	PRP	de
la	DET:ART	le
nature	NOM	nature
et	KON	et
des	PRP:det	du
animaux	NOM	animal
,	PUN	,
bien	ADV	bien
à	PRP	à
la	DET:ART	le
portée	NOM	portée
des	PRP:det	du
élèves	NOM	élève
qui	PRO:REL	qui
n'	ADV	ne
ont	VER:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
l'	DET:ART	le
heure	NOM	heure
passer	VER:infi	passer
.	SENT	.
