depuis	PRP	depuis
maintenant	ADV	maintenant
huit	NUM	huit
ans	NOM	an
,	PUN	,
nicole	ADJ	nicole
falaschini	NOM	falaschini
	ADJ	
uvre	NOM	uvre
dans	PRP	dans
un	DET:ART	un
total	ADJ	total
dévouement	NOM	dévouement
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
comité	NOM	comité
de	PRP	de
fleurissement	NOM	fleurissement
«	PUN:cit	«
les	DET:ART	le
genets	NOM	genet
»	PUN:cit	»
à	PRP	à
champagney	NOM	champagney
.	SENT	.
elue	NOM	elue
sur	PRP	sur
la	DET:ART	le
liste	NOM	liste
poivey	ADJ	poivey
en	PRP	en
2001	NUM	@card@
elle	PRO:PER	elle
ajoute	VER:pres	ajouter
une	DET:ART	un
corde	NOM	corde
à	PRP	à
son	DET:POS	son
arc	NOM	arc
avec	PRP	avec
son	DET:POS	son
poste	NOM	poste
de	PRP	de
conseillère	NOM	conseiller
municipale	ADJ	municipal
et	KON	et
accepte	VER:pres	accepter
les	DET:ART	le
présidences	NOM	présidence
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
ainsi	KON	ainsi
que	KON	que
celle	PRO:DEM	celui
de	PRP	de
la	DET:ART	le
commission	NOM	commission
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
elle	PRO:PER	elle
donne	VER:pres	donner
de	PRP	de
gros	ADJ	gros
coups	NOM	coup
de	PRP	de
pouce	NOM	pouce
lors	ADV	lors
des	PRP:det	du
vins	NOM	vin
d'	PRP	de
honneur	NOM	honneur
,	PUN	,
aux	PRP:det	au
associations	NOM	association
et	KON	et
lors	ADV	lors
des	PRP:det	du
collectes	NOM	collecte
de	PRP	de
sang	NOM	sang
.	SENT	.
elle	PRO:PER	elle
ne	ADV	ne
compte	VER:pres	compter
ni	KON	ni
son	DET:POS	son
temps	NOM	temps
,	PUN	,
ni	KON	ni
sa	DET:POS	son
peine	NOM	peine
.	SENT	.
en	PRP	en
août	NOM	août
2003	NUM	@card@
elle	PRO:PER	elle
aura	VER:futu	avoir
le	DET:ART	le
plaisir	NOM	plaisir
de	PRP	de
