«	PUN:cit	«
dans	PRP	dans
son	DET:POS	son
manteau	NOM	manteau
rouge	ADJ	rouge
et	KON	et
blanc	ADJ	blanc
,	PUN	,
sur	PRP	sur
un	DET:ART	un
traîneau	NOM	traîneau
porté	VER:pper	porter
par	PRP	par
le	DET:ART	le
vent	NOM	vent
,	PUN	,
il	PRO:PER	il
descendra	VER:futu	descendre
par	PRP	par
la	DET:ART	le
cheminée	NOM	cheminée
»,	ADJ	»,
dit	VER:pres	dire
la	DET:ART	le
chanson	NOM	chanson
.	SENT	.
ce	PRO:DEM	ce
qu'	PRO:REL	que
elle	PRO:PER	elle
ne	ADV	ne
précise	VER:pres	préciser
pas	ADV	pas
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
qu'	KON	que
ensuite	ADV	ensuite
le	DET:ART	le
père	NOM	père
noël	NOM	noël
dépose	VER:pres	déposer
son	DET:POS	son
costume	NOM	costume
à	PRP	à
la	DET:ART	le
teinturerie	NOM	teinturerie
,	PUN	,
à	PRP	à
neufchâteau	NOM	neufchâteau
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
ce	PRO:DEM	ce
que	PRO:REL	que
petits	ADJ	petit
et	KON	et
grands	ADJ	grand
ont	VER:pres	avoir
pu	VER:pper	pouvoir
découvrir	VER:infi	découvrir
hier	VER:infi	hier
,	PUN	,
en	PRP	en
se	PRO:PER	se
rendant	VER:ppre	rendre
au	PRP:det	au
pressing	NOM	pressing
,	PUN	,
avenue	NOM	avenue
du	PRP:det	du
général	NOM	général
de	PRP	de
gaulle	NOM	gaulle
.	SENT	.
curieux	ADJ	curieux
,	PUN	,
les	DET:ART	le
enfants	NOM	enfant
ont	VER:pres	avoir
demandé	VER:pper	demander
à	PRP	à
la	DET:ART	le
gérante	NOM	gérant
quand	KON	quand
monsieur	NOM	monsieur
noël	NOM	noël
comptait	VER:impf	compter
venir	VER:infi	venir
rechercher	VER:infi	rechercher
son	DET:POS	son
habit	NOM	habit
.	SENT	.
pour	PRP	pour
ne	ADV	ne
pas	ADV	pas
briser	VER:infi	briser
le	DET:ART	le
charme	NOM	charme
,	PUN	,
elle	PRO:PER	elle
leur	PRO:PER	lui
a	VER:pres	avoir
répondu	VER:pper	répondre
qu'	KON	que
ils	PRO:PER	il
avaient	VER:impf	avoir
tous	PRO:IND	tout
les	DET:ART	le
deux	NUM	deux
un	DET:ART	un
accord	NOM	accord
:	PUN	:
elle	PRO:PER	elle
lui	PRO:PER	lui
a	VER:pres	avoir
donné	VER:pper	donner
le	DET:ART	le
double	NOM	double
des	PRP:det	du
clés	NOM	clé
pour	PRP	pour
qu'	PRO:REL	que
il	PRO:PER	il
puisse	VER:subp	pouvoir
venir	VER:infi	venir
pendant	PRP	pendant
la	DET:ART	le
nuit	NOM	nuit
,	PUN	,
récupérer	VER:infi	récupérer
son	DET:POS	son
costume	NOM	costume
.	SENT	.
inutile	ADJ	inutile
donc	ADV	donc
de	PRP	de
l'	PRO:PER	la|le
attendre	VER:infi	attendre
,	PUN	,
il	PRO:PER	il
se	PRO:PER	se
dévoilera	VER:futu	dévoiler
comme	ADV	comme
à	PRP	à
son	DET:POS	son
habitude	NOM	habitude
,	PUN	,
quand	KON	quand
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
sera	VER:futu	être
couché	VER:pper	coucher
.	SENT	.
selon	PRP	selon
la	DET:ART	le
gérante	NOM	gérant
,	PUN	,
le	DET:ART	le
père	NOM	père
noël	NOM	noël
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
le	DET:ART	le
premier	NUM	premier
à	PRP	à
avoir	VER:infi	avoir
fait	VER:pper	faire
ce	PRO:DEM	ce
choix	NOM	choix
ces	PRO:DEM	ce
derniers	ADJ	dernier
mois	NOM	moi|mois
.	SENT	.
saint	ADJ	saint
nicolas	VER:simp	nicolas
lui	PRO:PER	lui
même	ADV	même
s'	PRO:PER	se
est	VER:pres	être
rendu	VER:pper	rendre
à	PRP	à
la	DET:ART	le
teinturerie	NOM	teinturerie
pour	PRP	pour
nettoyer	VER:infi	nettoyer
ses	DET:POS	son
habits	NOM	habit
.	SENT	.
sûrement	ADV	sûrement
tâchés	VER:pper	tâcher
par	PRP	par
des	PRP:det	du
friandises	NOM	friandise
.	SENT	.
que	KON	que
les	DET:ART	le
enfants	NOM	enfant
ne	ADV	ne
soient	VER:subp	être
pas	ADV	pas
trop	ADV	trop
tristes	ADJ	triste
,	PUN	,
s'	PRO:PER	se
ils	PRO:PER	il
ne	ADV	ne
reverront	VER:futu	revoir
l'	DET:ART	le
évêque	NOM	évêque
de	PRP	de
myre	NOM	myre
et	KON	et
le	DET:ART	le
père	NOM	père
noël	NOM	noël
que	KON	que
l'	DET:ART	le
année	NOM	année
prochaine	ADJ	prochain
,	PUN	,
ils	PRO:PER	il
auront	VER:futu	avoir
peut-être	ADV	peut-être
la	DET:ART	le
chance	NOM	chance
de	PRP	de
croiser	VER:infi	croiser
melchior	NOM	melchior
,	PUN	,
balthazar	NOM	balthazar
et	KON	et
gaspard	NOM	gaspard
dans	PRP	dans
les	DET:ART	le
jours	NOM	jour
qui	PRO:REL	qui
viennent	VER:pres	venir
.	SENT	.
qui	PRO	qui
sait	VER:pres	savoir
,	PUN	,
les	DET:ART	le
bonnes	ADJ	bon
adresses	NOM	adresse
circulent	VER:pres	circuler
vite	ADV	vite
...	PUN	...
