ce	PRO:DEM	ce
week-end	NOM	week-end
,	PUN	,
deux	NUM	deux
salons	NOM	salon
du	PRP:det	du
mariage	NOM	mariage
étaient	VER:impf	être
proposés	VER:pper	proposer
sur	PRP	sur
le	DET:ART	le
pays	NOM	pays
de	PRP	de
montbéliard	NOM	montbéliard
,	PUN	,
«	PUN:cit	«
rêve	NOM	rêve
blanc	ADJ	blanc
»	PUN:cit	»
dans	PRP	dans
la	DET:ART	le
cité	NOM	cité
des	PRP:det	du
princes	NOM	prince
et	KON	et
«	PUN:cit	«
nocéa	NOM	nocéa
»	PUN:cit	»
à	PRP	à
sochaux	NOM	sochaux
.	SENT	.
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
rencontrer	VER:infi	rencontrer
les	DET:ART	le
commerçants	NOM	commerçant
spécialisés	VER:pper	spécialiser
dans	PRP	dans
la	DET:ART	le
vente	NOM	vente
de	PRP	de
produits	NOM	produit
nuptiaux	ADJ	nuptial
et	KON	et
de	PRP	de
découvrir	VER:infi	découvrir
la	DET:ART	le
mode	NOM	mode
2003	NUM	@card@
concernant	PRP	concernant
les	DET:ART	le
robes	NOM	robe
et	KON	et
les	PRO:PER	la|le
costumes	VER:pres	costumer
de	PRP	de
marié	NOM	marié
(	PUN	(
e	VER:pper	e
)	PUN	)
s.	ABR	s.
les	DET:ART	le
visiteurs	NOM	visiteur
,	PUN	,
nombreux	ADJ	nombreux
au	PRP:det	au
rendez-vous	NOM	rendez-vous
,	PUN	,
ont	VER:pres	avoir
aussi	ADV	aussi
assisté	VER:pper	assister
à	PRP	à
de	PRP	de
très	ADV	très
beaux	ADJ	beau
défilés	NOM	défilé
de	PRP	de
mannequins	NOM	mannequin
et	KON	et
découvert	VER:pper	découvrir
les	DET:ART	le
nouvelles	ADJ	nouveau
collections	NOM	collection
.	SENT	.
