a	VER:pres	avoir
nancy	NOM	nancy
-	PUN	-
«	PUN:cit	«
humeurs	NOM	humeur
d'	PRP	de
humains	NOM	humain
»	PUN:cit	»
photographies	NOM	photographie
,	PUN	,
peintures	NOM	peinture
et	KON	et
encres	NOM	encre
de	PRP	de
sophie	NOM	sophie
chazal	ADJ	chazal
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
mjc	NOM	mjc
des	PRP:det	du
3	NUM	@card@
maisons	NOM	maison
,	PUN	,
12	NUM	@card@
rue	NOM	rue
de	PRP	de
fontenoy	NOM	fontenoy
,	PUN	,
nancy	NOM	nancy
.	SENT	.
-	PUN	-
«	PUN:cit	«
thème	NOM	thème
de	PRP	de
vie	NOM	vie
»,	ADJ	»,
	ADJ	
uvres	NOM	uvres
de	PRP	de
marie-martine	NOM	marie-martine
darboure	NOM	darboure
,	PUN	,
hôtel	NOM	hôtel
mercure	NOM	mercure
,	PUN	,
11	NUM	@card@
rue	NOM	rue
raymond-poincaré	ADJ	raymond-poincaré
.	SENT	.
-	PUN	-
«	PUN:cit	«
un	DET:ART	un
monde	NOM	monde
sous	PRP	sous
nos	DET:POS	notre
pieds	NOM	pied
»	PUN:cit	»
:	PUN	:
le	DET:ART	le
monde	NOM	monde
minéral	ADJ	minéral
,	PUN	,
l'	DET:ART	le
hydrologie	NOM	hydrologie
,	PUN	,
les	DET:ART	le
réseaux	NOM	réseau
et	KON	et
canalisations	NOM	canalisation
,	PUN	,
le	DET:ART	le
monde	NOM	monde
animal	ADJ	animal
,	PUN	,
le	DET:ART	le
monde	NOM	monde
végétal	ADJ	végétal
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
maison	NOM	maison
de	PRP	de
l'	DET:ART	le
espace	NOM	espace
vert	ADJ	vert
,	PUN	,
au	PRP:det	au
parc	NOM	parc
sainte-marie	NOM	sainte-marie
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
-	PUN	-
«	PUN:cit	«
yamina	NOM	yamina
hadj	NOM	hadj
»,	ADJ	»,
huiles	NOM	huile
sur	PRP	sur
toile	NOM	toile
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
archives	NOM	archives
municipales	ADJ	municipal
,	PUN	,
3	NUM	@card@
rue	NOM	rue
henri-bazin	NOM	henri-bazin
,	PUN	,
nancy	NOM	nancy
.	SENT	.
son	DET:POS	son
site	NOM	site
:	PUN	:
www	NOM	www
.	SENT	.
getsmall	NOM	getsmall
.	SENT	.
nancy	NOM	nancy
.	SENT	.
com	NOM	com
.	SENT	.
-	PUN	-
«	PUN:cit	«
so	NOM	so
british	ADJ	british
!	SENT	!
»,	ADJ	»,
exposition	NOM	exposition
d'	PRP	de
art	NOM	art
contemporain	ADJ	contemporain
anglais	ADJ	anglais
:	PUN	:
installations	NOM	installation
,	PUN	,
sculptures	NOM	sculpture
,	PUN	,
peintures	NOM	peinture
,	PUN	,
photogaphies	NOM	photogaphies
,	PUN	,
vidéos	NOM	vidéo
;	PUN	;
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
galeries	NOM	galerie
poirel	NOM	poirel
,	PUN	,
3	NUM	@card@
rue	NOM	rue
victor-poirel	NOM	victor-poirel
,	PUN	,
nancy	NOM	nancy
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
visite	NOM	visite
guidée	VER:pper	guider
gratuite	ADJ	gratuit
les	DET:ART	le
samedis	NOM	samedi
,	PUN	,
dimanches	NOM	dimanche
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
-	PUN	-
«	PUN:cit	«
stratos	NOM	stratos
»,	ADJ	»,
peintures	NOM	peinture
,	PUN	,
galerie	NOM	galerie
raugraff	NOM	raugraff
,	PUN	,
14	NUM	@card@
rue	NOM	rue
raugraff	NOM	raugraff
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
35.65	NUM	@card@
.	SENT	.
95	NUM	@card@
-	PUN	-
«	PUN:cit	«
victor	NOM	victor
prouvé	VER:pper	prouver
et	KON	et
l'	DET:ART	le
effort	NOM	effort
de	PRP	de
guerre	NOM	guerre
»,	ADJ	»,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
couvent	NOM	couvent
des	PRP:det	du
cordeliers	NOM	cordelier
,	PUN	,
musée	NOM	musée
lorrain	ADJ	lorrain
,	PUN	,
66	NUM	@card@
grande	ADJ	grand
rue	NOM	rue
,	PUN	,
nancy	NOM	nancy
.	SENT	.
-	PUN	-
«	PUN:cit	«
la	DET:ART	le
bande	NOM	bande
dessinée	VER:pper	dessiner
»,	NOM	»,
par	PRP	par
marc	NOM	marc
ferry	NOM	ferry
,	PUN	,
de	PRP	de
11	NUM	@card@
h	ABR	heure
à	PRP	à
minuit	NOM	minuit
,	PUN	,
au	PRP:det	au
coct'au	NOM	coct'au
bar	NOM	bar
,	PUN	,
4	NUM	@card@
rue	NOM	rue
gustave-simon	ADJ	gustave-simon
,	PUN	,
nancy	NOM	nancy
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
32.02	NUM	@card@
.	SENT	.
81	NUM	@card@
-	PUN	-
«	PUN:cit	«
nancy	NOM	nancy
de	PRP	de
nuit	NOM	nuit
»,	NOM	»,
les	DET:ART	le
20	NUM	@card@
meilleurs	ADJ	meilleur
tirages	NOM	tirage
du	PRP:det	du
concours	NOM	concours
étudiant	VER:ppre	étudier
en	PRP	en
partenariat	NOM	partenariat
avec	PRP	avec
l'	DET:ART	le
association	NOM	association
adetc	ADJ	adetc
(	PUN	(
iut	NOM	iut
charlemagne	NOM	charlemagne
),	ADJ	),
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
médiathèque	NOM	médiathèque
,	PUN	,
10	NUM	@card@
rue	NOM	rue
baron-louis	VER:pper	baron-louis
,	PUN	,
nancy	NOM	nancy
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
-	PUN	-
«	PUN:cit	«
