samedi	NOM	samedi
,	PUN	,
à	PRP	à
la	DET:ART	le
piscine	NOM	piscine
municipale	ADJ	municipal
,	PUN	,
se	PRO:PER	se
déroulaient	VER:impf	dérouler
la	DET:ART	le
deuxième	NUM	deuxième
journée	NOM	journée
avenirs-poussins	ADJ	avenirs-poussins
avec	PRP	avec
138	NUM	@card@
nageurs	NOM	nageur
présents	ADJ	présent
qui	PRO:REL	qui
se	PRO:PER	se
sont	VER:pres	être
illustrés	VER:pper	illustrer
en	PRP	en
améliorant	VER:ppre	améliorer
35	NUM	@card@
temps	NOM	temps
sur	PRP	sur
43	NUM	@card@
courses	NOM	course
et	KON	et
en	PRO:PER	en
remportant	VER:ppre	remporter
18	NUM	@card@
podiums	NOM	podium
,	PUN	,
16	NUM	@card@
individuels	NOM	individuel
(	PUN	(
6	NUM	@card@
or	NOM	or
,	PUN	,
5	NUM	@card@
argent	NOM	argent
,	PUN	,
5	NUM	@card@
bronze	NOM	bronze
et	KON	et
2	NUM	@card@
or	NOM	or
en	PRP	en
relais	NOM	relais
).	VER:subi	).
les	DET:ART	le
membres	NOM	membre
du	PRP:det	du
club	NOM	club
aquatique	ADJ	aquatique
de	PRP	de
rambervillers	NOM	rambervillers
ont	VER:pres	avoir
fait	VER:pper	faire
mieux	ADV	mieux
qu'	KON	que
à	PRP	à
la	DET:ART	le
première	NUM	premier
journée	NOM	journée
de	PRP	de
bruyères	NOM	bruyère
,	PUN	,
malgré	PRP	malgré
l'	DET:ART	le
absence	NOM	absence
de	PRP	de
jacques	NOM	jacque|jacques
blary	ADJ	blary
(	PUN	(
qui	PRO:REL	qui
a	VER:pres	avoir
l'	DET:ART	le
habitude	NOM	habitude
de	PRP	de
tout	ADV	tout
gagner	VER:infi	gagner
).	VER:pper	).
dans	PRP	dans
les	DET:ART	le
épreuves	NOM	épreuve
des	PRP:det	du
relais	NOM	relais
4	NUM	@card@
x	NOM	x
50	NUM	@card@
m	NOM	m
nage	VER:pres	nager
libre	ADJ	libre
et	KON	et
4	NUM	@card@
x	NOM	x
50	NUM	@card@
m	NOM	m
quatre	NUM	quatre
nages	NOM	nage
,	PUN	,
l'	DET:ART	le
équipe	NOM	équipe
composée	VER:pper	composer
de	PRP	de
benjamin	NOM	benjamin
margouillet	ADJ	margouillet
,	PUN	,
bérenger	NOM	bérenger
maire	NOM	maire
,	PUN	,
guillaume	NOM	guillaume
simon	NOM	simon
et	KON	et
jonas	VER:simp	jonas
bousmat	NOM	bousmat
a	VER:pres	avoir
remporté	VER:pper	remporter
les	DET:ART	le
2	NUM	@card@
podiums	NOM	podium
.	SENT	.
en	PRP	en
individuel	ADJ	individuel
,	PUN	,
chez	PRP	chez
les	DET:ART	le
poussins	NOM	poussin
(	PUN	(
nés	VER:pper	naître
en	PRP	en
92	NUM	@card@
-	PUN	-
93	NUM	@card@
),	NOM	),
benjamin	NOM	benjamin
margouillet	ADJ	margouillet
est	VER:pres	être
reparti	VER:pper	repartir
avec	PRP	avec
3	NUM	@card@
médailles	NOM	médaille
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
sur	PRP	sur
50	NUM	@card@
m	ADJ	m
papillon	NOM	papillon
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
sur	PRP	sur
50	NUM	@card@
m	NOM	m
nage	VER:pres	nager
libre	ADJ	libre
et	KON	et
3	NUM	@card@
e	NOM	e
sur	PRP	sur
50	NUM	@card@
m	ADJ	m
brasse	NOM	brasse
.	SENT	.
bérenger	NOM	bérenger
maire	NOM	maire
a	VER:pres	avoir
également	ADV	également
remporté	VER:pper	remporter
3	NUM	@card@
médailles	NOM	médaille
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
sur	PRP	sur
50	NUM	@card@
m	ADJ	m
dos	NOM	dos
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
sur	PRP	sur
50	NUM	@card@
m	NOM	m
brasse	VER:pres	brasser
et	KON	et
3	NUM	@card@
e	NOM	e
sur	PRP	sur
50	NUM	@card@
nage	NOM	nage
libre	ADJ	libre
.	SENT	.
guillaume	NOM	guillaume
simon	NOM	simon
lui	PRO:PER	lui
a	VER:pres	avoir
décroché	VER:pper	décrocher
2	NUM	@card@
médailles	NOM	médaille
,	PUN	,
2	NUM	@card@
e	NOM	e
sur	PRP	sur
50	NUM	@card@
m	ADJ	m
dos	NOM	dos
et	KON	et
sur	PRP	sur
50	NUM	@card@
m	NOM	m
nage	VER:pres	nager
libre	ADJ	libre
.	SENT	.
chez	PRP	chez
les	DET:ART	le
filles	NOM	fille
,	PUN	,
catherine	NOM	catherine
demangeat	NOM	demangeat
