correspondant	VER:ppre	correspondre
:	PUN	:
t.	ABR	t.
millet	NOM	millet
au	PRP:det	au
06.62	NUM	@card@
.	SENT	.
12.52	NUM	@card@
.	SENT	.
91	NUM	@card@
ou	KON	ou
p.	VER:simp	p.
serr	NOM	serr
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
30.01	NUM	@card@
.	SENT	.
34	NUM	@card@
mairie	NOM	mairie
et	KON	et
police	NOM	police
municipale	ADJ	municipal
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
:	PUN	:
03.83	NUM	@card@
.	SENT	.
32.30	NUM	@card@
.	SENT	.
00	NUM	@card@
service	NOM	service
de	PRP	de
l'	DET:ART	le
environnement	NOM	environnement
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.83	NUM	@card@
.	SENT	.
32.30	NUM	@card@
.	SENT	.
00	NUM	@card@
service	NOM	service
de	PRP	de
l'	DET:ART	le
urbanisme	NOM	urbanisme
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.83	NUM	@card@
.	SENT	.
32.30	NUM	@card@
.	SENT	.
00	NUM	@card@
service	NOM	service
jeunesse	NOM	jeunesse
animation	NOM	animation
sports	NOM	sport
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.83	NUM	@card@
.	SENT	.
37.01	NUM	@card@
.	SENT	.
67	NUM	@card@
police	NOM	police
nationale	ADJ	national
:	PUN	:
centre	NOM	centre
meurthe	ADJ	meurthe
et	KON	et
canal	NOM	canal
:	PUN	:
03.83	NUM	@card@
.	SENT	.
35.43	NUM	@card@
.	SENT	.
72	NUM	@card@
aux	PRP:det	au
aulnes	NOM	aulne
:	PUN	:
03.83	NUM	@card@
.	SENT	.
98.57	NUM	@card@
.	SENT	.
77	NUM	@card@
halte	NOM	halte
garderie	NOM	garderie
«	PUN:cit	«
ùpumuckl	NOM	ùpumuckl
»	PUN:cit	»
:	PUN	:
tél	ABR	téléphone
,	PUN	,
03.83	NUM	@card@
.	SENT	.
37.95	NUM	@card@
.	SENT	.
41	NUM	@card@
