plusieurs	PRO:IND	plusieurs
cambriolages	NOM	cambriolage
ont	VER:pres	avoir
été	VER:pper	être
commis	VER:pper	commettre
dans	PRP	dans
une	DET:ART	un
entreprise	NOM	entreprise
de	PRP	de
récupération	NOM	récupération
,	PUN	,
sur	PRP	sur
la	DET:ART	le
zone	NOM	zone
industrielle	ADJ	industriel
de	PRP	de
la	DET:ART	le
croix-de-metz	NOM	croix-de-metz
à	PRP	à
toul	NOM	toul
.	SENT	.
des	PRP:det	du
dizaines	NOM	dizaine
de	PRP	de
jantes	NOM	jante
en	PRP	en
aluminium	NOM	aluminium
ont	VER:pres	avoir
disparu	VER:pper	disparaître
.	SENT	.
l'	DET:ART	le
autre	ADJ	autre
soir	NOM	soir
,	PUN	,
une	DET:ART	un
société	NOM	société
de	PRP	de
gardiennage	NOM	gardiennage
a	VER:pres	avoir
mis	VER:pper	mettre
en	PRP	en
fuite	NOM	fuite
trois	NUM	trois
individus	NOM	individu
,	PUN	,
lesquels	PRO:REL	lequel
ont	VER:pres	avoir
été	VER:pper	être
interpellés	VER:pper	interpeller
par	PRP	par
la	DET:ART	le
police	NOM	police
peu	ADV	peu
après	ADV	après
.	SENT	.
les	DET:ART	le
trois	NUM	trois
hommes	NOM	homme
ont	VER:pres	avoir
nié	VER:pper	nier
les	DET:ART	le
faits	NOM	fait
.	SENT	.
pourtant	ADV	pourtant
,	PUN	,
la	DET:ART	le
voiture	NOM	voiture
de	PRP	de
l'	DET:ART	le
un	NOM	un
d'	PRP	de
eux	PRO:PER	eux
a	VER:pres	avoir
été	VER:pper	être
retrouvée	VER:pper	retrouver
à	PRP	à
proximité	NOM	proximité
,	PUN	,
et	KON	et
huit	NUM	huit
jantes	NOM	jante
dissimulées	VER:pper	dissimuler
non	ADV	non
loin	ADV	loin
de	PRP	de
là	ADV	là
.	SENT	.
le	DET:ART	le
parquet	NOM	parquet
a	VER:pres	avoir
été	VER:pper	être
avisé	VER:pper	aviser
.	SENT	.
