c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
que	PRO:REL	que
se	PRO:PER	se
produiront	VER:futu	produire
dimanche	NOM	dimanche
9	NUM	@card@
février	NOM	février
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
les	DET:ART	le
anonymes	ADJ	anonyme
»	PUN:cit	»
dans	PRP	dans
leur	DET:POS	leur
nouvelle	ADJ	nouveau
pièce	NOM	pièce
:	PUN	:
«	PUN:cit	«
une	DET:ART	un
fois	NOM	foi|fois
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
costume	NOM	costume
».	VER:subi	».
entrée	VER:pper	entrer
7	NUM	@card@
euros	NOM	euro
.	SENT	.
venez	VER:pres	venir
nombreux	ADJ	nombreux
.	SENT	.
