cette	PRO:DEM	ce
année	NOM	année
encore	ADV	encore
,	PUN	,
des	PRP:det	du
membres	NOM	membre
de	PRP	de
la	DET:ART	le
société	NOM	société
de	PRP	de
pêche	NOM	pêche
le	DET:ART	le
«	PUN:cit	«
goujon-perche	NOM	goujon-perche
sorcy-pagny	NAM	sorcy-pagny
»	PUN:cit	»
ont	VER:pres	avoir
fait	VER:pper	faire
fort	ADJ	fort
,	PUN	,
lors	ADV	lors
du	PRP:det	du
concours	NOM	concours
interne	ADJ	interne
de	PRP	de
la	DET:ART	le
plus	ADV	plus
grosse	ADJ	gros
prise	NOM	prise
.	SENT	.
les	DET:ART	le
gagnants	NOM	gagnant
:	PUN	:
catégorie	NOM	catégorie
brochet	NOM	brochet
1	NUM	@card@
m	NOM	m
12	NUM	@card@
-	PUN	-
olivier	NOM	olivier
sponville	NOM	sponville
de	PRP	de
pagny-sur-meuse	NOM	pagny-sur-meuse
.	SENT	.
catégorie	NOM	catégorie
sandre	NOM	sandre
:	PUN	:
72	NUM	@card@
cm	NOM	cm
-	PUN	-
gilbert	NOM	gilbert
dailly	NOM	dailly
de	PRP	de
sorcy-saint-martin	NOM	sorcy-saint-martin
.	SENT	.
catégorie	NOM	catégorie
perche	NOM	perche
:	PUN	:
44	NUM	@card@
cm	NOM	cm
-	PUN	-
maxime	VER:pres	maximer
raiwisque	NOM	raiwisque
de	PRP	de
sorcy-saint-martin	NOM	sorcy-saint-martin
.	SENT	.
catégorie	NOM	catégorie
truite	NOM	truite
:	PUN	:
62	NUM	@card@
cm	NOM	cm
-	PUN	-
thierry	NOM	thierry
rollin	NOM	rollin
de	PRP	de
sorcy-saint-martin	NOM	sorcy-saint-martin
.	SENT	.
un	DET:ART	un
chèque	NOM	chèque
de	PRP	de
30	NUM	@card@
euros	NOM	euro
sera	VER:futu	être
remis	VER:pper	remettre
à	PRP	à
tous	PRO:IND	tout
les	DET:ART	le
gagnants	NOM	gagnant
par	PRP	par
le	DET:ART	le
président	NOM	président
de	PRP	de
la	DET:ART	le
société	NOM	société
.	SENT	.
suite	NOM	suite
à	PRP	à
la	DET:ART	le
tombola	NOM	tombola
qui	PRO:REL	qui
s'	PRO:PER	se
était	VER:impf	être
déroulée	VER:pper	dérouler
lors	ADV	lors
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
,	PUN	,
la	DET:ART	le
carte	NOM	carte
gratuite	ADJ	gratuit
a	VER:pres	avoir
été	VER:pper	être
remise	VER:pper	remettre
à	PRP	à
thierry	ADJ	thierry
rollin	NOM	rollin
.	SENT	.
a	VER:pres	avoir
noter	VER:infi	noter
que	KON	que
les	DET:ART	le
cartes	NOM	carte
de	PRP	de
pêche	NOM	pêche
2003	NUM	@card@
sont	VER:pres	être
en	PRP	en
vente	NOM	vente
chez	PRP	chez
les	DET:ART	le
dépositaires	NOM	dépositaire
habituels	ADJ	habituel
.	SENT	.
félicitations	NOM	félicitation
.	SENT	.
