metz	ABR	metz
.	SENT	.
_	NOM	_
lors	ADV	lors
des	PRP:det	du
sélections	NOM	sélection
régionales	ADJ	régional
du	PRP:det	du
19	NUM	@card@
octobre	NOM	octobre
dernier	ADJ	dernier
,	PUN	,
plus	ADV	plus
de	PRP	de
160	NUM	@card@
jeunes	ADJ	jeune
candidats	NOM	candidat
lorrains	ADJ	lorrain
ont	VER:pres	avoir
rivalisé	VER:pper	rivaliser
de	PRP	de
savoir-faire	NOM	savoir-faire
dans	PRP	dans
26	NUM	@card@
disciplines	NOM	discipline
différentes	ADJ	différent
:	PUN	:
bâtiment	NOM	bâtiment
,	PUN	,
horticulture	NOM	horticulture
,	PUN	,
travail	NOM	travail
des	PRP:det	du
métaux	NOM	métal
,	PUN	,
automobile	ADJ	automobile
,	PUN	,
hôtellerie-restauration	NOM	hôtellerie-restauration
ou	KON	ou
encore	ADV	encore
ébénisterie	NOM	ébénisterie
,	PUN	,
coiffure	NOM	coiffure
...	PUN	...
la	DET:ART	le
qualité	NOM	qualité
de	PRP	de
leur	DET:POS	leur
prestation	NOM	prestation
a	VER:pres	avoir
permis	VER:pper	permettre
à	PRP	à
28	NUM	@card@
d'	PRP	de
entre	PRP	entre
eux	PRO:PER	eux
de	PRP	de
se	PRO:PER	se
qualifier	VER:infi	qualifier
pour	PRP	pour
la	DET:ART	le
sélection	NOM	sélection
nationale	ADJ	national
qui	PRO:REL	qui
se	PRO:PER	se
déroulera	VER:futu	dérouler
du	PRP:det	du
4	NUM	@card@
au	PRP:det	au
8	NUM	@card@
février	NOM	février
prochain	ADJ	prochain
en	PRP	en
région	NOM	région
centre	NOM	centre
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
issue	NOM	issue
de	PRP	de
ces	PRO:DEM	ce
épreuves	NOM	épreuve
,	PUN	,
les	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
et	KON	et
2	NUM	@card@
e	NOM	e
de	PRP	de
chaque	PRO:IND	chaque
catégorie	NOM	catégorie
seront	VER:futu	être
alors	ADV	alors
désignés	VER:pper	désigner
comme	ADV	comme
titulaires	ADJ	titulaire
et	KON	et
suppléants	ADJ	suppléant
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
france	NOM	france
,	PUN	,
qui	PRO:REL	qui
participera	VER:futu	participer
aux	PRP:det	au
phases	NOM	phase
finales	ADJ	final
en	PRP	en
juin	NOM	juin
2003	NUM	@card@
a	VER:pres	avoir
saint-gall	NOM	saint-gall
,	PUN	,
en	PRP	en
suisse	NOM	suisse
,	PUN	,
plus	ADV	plus
de	PRP	de
600	NUM	@card@
jeunes	NOM	jeune
,	PUN	,
âgés	ADJ	âgé
de	PRP	de
22	NUM	@card@
ans	NOM	an
maximum	ADJ	maximum
,	PUN	,
défendront	VER:futu	défendre
ainsi	ADV	ainsi
les	DET:ART	le
couleurs	NOM	couleur
de	PRP	de
leur	DET:POS	leur
pays	NOM	pays
et	KON	et
feront	VER:futu	faire
la	DET:ART	le
preuve	NOM	preuve
de	PRP	de
leurs	DET:POS	leur
compétences	NOM	compétence
professionnelles	ADJ	professionnel
et	KON	et
de	PRP	de
la	DET:ART	le
qualité	NOM	qualité
de	PRP	de
leur	DET:POS	leur
formation	NOM	formation
,	PUN	,
devant	PRP	devant
550	NUM	@card@
experts	NOM	expert
et	KON	et
100.000	NUM	@card@
visiteurs	NOM	visiteur
.	SENT	.
trente-cinq	NUM	trente-cinq
pays	NOM	pays
des	PRP:det	du
cinq	NUM	cinq
continents	NOM	continent
participeront	VER:futu	participer
à	PRP	à
l'	DET:ART	le
événement	NOM	événement
qui	PRO:REL	qui
rassemblera	VER:futu	rassembler
au	PRP:det	au
moins	ADV	moins
40	NUM	@card@
métiers	NOM	métier
.	SENT	.
aux	PRP:det	au
dernières	ADJ	dernier
olympiades	NOM	olympiade
à	PRP	à
séoul	ADJ	séoul
,	PUN	,
en	PRP	en
2001	NUM	@card@
la	DET:ART	le
france	NOM	france
s'	PRO:PER	se
est	VER:pres	être
classée	VER:pper	classer
au	PRP:det	au
6	NUM	@card@
e	NOM	e
rang	NOM	rang
mondial	ADJ	mondial
avec	PRP	avec
18	NUM	@card@
récompenses	NOM	récompense
:	PUN	:
3	NUM	@card@
médailles	NOM	médaille
d'	PRP	de
or	NOM	or
,	PUN	,
3	NUM	@card@
d'	PRP	de
argent	NOM	argent
,	PUN	,
1	NUM	@card@
de	PRP	de
bronze	NOM	bronze
et	KON	et
11	NUM	@card@
diplômes	NOM	diplôme
d'	PRP	de
honneur	NOM	honneur
.	SENT	.
trois	NUM	trois
lorrains	NOM	lorrain
faisaient	VER:impf	faire
partie	VER:pper	partir
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
nationale	ADJ	national
.	SENT	.
