m.	ABR	m.
simon	NOM	simon
girardet	NOM	girardet
15	NUM	@card@
rue	NOM	rue
de	PRP	de
saint-fort	NOM	saint-fort
25660	NUM	@card@
morre	NOM	morre
.	SENT	.
beaucoup	ADV	beaucoup
de	PRP	de
mes	DET:POS	mon
compatriotes	NOM	compatriote
sont	VER:pres	être
admiratifs	ADJ	admiratif
et	KON	et
comme	ADV	comme
envoûtés	VER:pper	envoûter
par	PRP	par
les	DET:ART	le
exploits	NOM	exploit
et	KON	et
la	DET:ART	le
politique	ADJ	politique
spectacle	NOM	spectacle
du	PRP:det	du
ministre	NOM	ministre
de	PRP	de
l'	DET:ART	le
intérieur	NOM	intérieur
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
plus	ADV	plus
actif	ADJ	actif
et	KON	et
le	DET:ART	le
plus	ADV	plus
efficace	ADJ	efficace
dans	PRP	dans
un	DET:ART	un
gouvernement	NOM	gouvernement
qui	PRO:REL	qui
compte	VER:pres	compter
bien	ADV	bien
peu	ADV	peu
de	PRP	de
ministres	NOM	ministre
de	PRP	de
grande	ADJ	grand
envergure	NOM	envergure
!	SENT	!
ce	PRO:DEM	ce
ministre	NOM	ministre
de	PRP	de
l'	DET:ART	le
intérieur	NOM	intérieur
,	PUN	,
doué	VER:pper	douer
d'	PRP	de
ubiquité	NOM	ubiquité
,	PUN	,
est	VER:pres	être
à	PRP	à
mon	DET:POS	mon
sens	NOM	sen|sens
bien	ADV	bien
utile	ADJ	utile
pour	PRP	pour
masquer	VER:infi	masquer
une	DET:ART	un
politique	NOM	politique
économique	ADJ	économique
et	KON	et
financière	ADJ	financier
entièrement	ADV	entièrement
axée	VER:pper	axer
sur	PRP	sur
le	DET:ART	le
soutien	NOM	soutien
aux	PRP:det	au
revenus	NOM	revenu
des	PRP:det	du
catégories	NOM	catégorie
les	DET:ART	le
plus	ADV	plus
aisées	ADJ	aisé
;	PUN	;
ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
mis	VER:pper	mettre
sournoisement	ADV	sournoisement
en	PRP	en
place	NOM	place
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
société	NOM	société
économiquement	ADV	économiquement
basée	VER:pper	baser
sur	PRP	sur
l'	DET:ART	le
intérêt	NOM	intérêt
et	KON	et
le	DET:ART	le
marché	NOM	marché
et	KON	et
qui	PRO:REL	qui
sera	VER:futu	être
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
dure	ADJ	dur
pour	PRP	pour
ceux	PRO:DEM	celui
d'	PRP	de
en	PRP	en
bas	ADV	bas
de	PRP	de
l'	DET:ART	le
échelle	NOM	échelle
!	SENT	!
a	VER:pres	avoir
lire	VER:infi	lire
le	DET:ART	le
projet	NOM	projet
de	PRP	de
loi	NOM	loi
sur	PRP	sur
la	DET:ART	le
sécurité	NOM	sécurité
intérieure	ADJ	intérieur
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
indigné	VER:pper	indigner
:	PUN	:
ces	PRO:DEM	ce
nouvelles	ADJ	nouveau
«	PUN:cit	«
classes	NOM	classe
dangereuses	ADJ	dangereux
»	PUN:cit	»
