«	PUN:cit	«
je	PRO:PER	je
suis	VER:pres	suivre|être
évidemment	ADV	évidemment
très	ADV	très
déçu	VER:pper	décevoir
par	PRP	par
ce	PRO:DEM	ce
résultat	NOM	résultat
nul	ADJ	nul
.	SENT	.
surtout	ADV	surtout
qu'	KON	que
on	PRO:PER	on
a	VER:pres	avoir
eu	VER:pper	avoir
souvent	ADV	souvent
le	DET:ART	le
match	NOM	match
en	PRP	en
mains	NOM	main
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
très	ADV	très
frustrant	ADJ	frustrant
et	KON	et
énervant	VER:ppre	énerver
de	PRP	de
se	PRO:PER	se
faire	VER:infi	faire
rejoindre	VER:infi	rejoindre
de	PRP	de
cette	PRO:DEM	ce
façon	NOM	façon
,	PUN	,
alors	ADV	alors
qu'	KON	que
on	PRO:PER	on
croyait	VER:impf	croire
avoir	VER:infi	avoir
gagné	VER:pper	gagner
.	SENT	.
il	PRO:PER	il
va	VER:pres	aller
falloir	VER:infi	falloir
vite	ADV	vite
rebondir	VER:infi	rebondir
pour	PRP	pour
oublier	VER:infi	oublier
».	VER:pper	».
