ce	PRO:DEM	ce
samedi	NOM	samedi
soir	NOM	soir
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
les	DET:ART	le
élèves	NOM	élève
de	PRP	de
cm	NOM	cm
1	NUM	@card@
et	KON	et
cm	NOM	cm
2	NUM	@card@
de	PRP	de
la	DET:ART	le
classe	NOM	classe
de	PRP	de
mme	ADJ	mme
bodez	NOM	bodez
étaient	VER:impf	être
à	PRP	à
la	DET:ART	le
fête	NOM	fête
lors	ADV	lors
du	PRP:det	du
traditionnel	ADJ	traditionnel
repas	NOM	repas
dansant	VER:ppre	danser
des	PRP:det	du
écoles	NOM	école
.	SENT	.
celui-ci	VER:pper	celui-ci
s'	PRO:PER	se
est	VER:pres	être
déroulé	VER:pper	dérouler
dans	PRP	dans
une	DET:ART	un
excellente	ADJ	excellent
ambiance	NOM	ambiance
.	SENT	.
organisé	VER:pper	organiser
par	PRP	par
les	DET:ART	le
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
et	KON	et
les	DET:ART	le
enseignants	NOM	enseignant
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
destiné	VER:pper	destiner
au	PRP:det	au
financement	NOM	financement
d'	PRP	de
une	DET:ART	un
partie	NOM	partie
de	PRP	de
la	DET:ART	le
classe	NOM	classe
de	PRP	de
mer	NOM	mer
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
fin	ADJ	fin
mai	NOM	mai
à	PRP	à
douarnenez	NOM	douarnenez
(	PUN	(
finistère	NOM	finistère
).	VER:ppre	).
la	DET:ART	le
prochaine	ADJ	prochain
action	NOM	action
liée	VER:pper	lier
au	PRP:det	au
financement	NOM	financement
de	PRP	de
la	DET:ART	le
classe	NOM	classe
de	PRP	de
mer	NOM	mer
,	PUN	,
est	VER:pres	être
la	DET:ART	le
représentation	NOM	représentation
théâtrale	ADJ	théâtral
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
le	DET:ART	le
samedi	NOM	samedi
22	NUM	@card@
février	NOM	février
avec	PRP	avec
les	DET:ART	le
«	PUN:cit	«
food'scène	NOM	food'scène
»	PUN:cit	»
la	DET:ART	le
troupe	NOM	troupe
de	PRP	de
hadol	NOM	hadol
.	SENT	.
