cette	PRO:DEM	ce
fois-ci	NOM	fois-ci
,	PUN	,
le	DET:ART	le
dispositif	NOM	dispositif
a	VER:pres	avoir
bien	ADV	bien
fonctionné	VER:pper	fonctionner
.	SENT	.
rien	NOM	rien
à	PRP	à
voir	VER:infi	voir
avec	PRP	avec
les	DET:ART	le
atermoiements	NOM	atermoiement
de	PRP	de
la	DET:ART	le
mi-décembre	NOM	mi-décembre
pour	PRP	pour
déclencher	VER:infi	déclencher
l'	DET:ART	le
alerte	NOM	alerte
dans	PRP	dans
les	DET:ART	le
secteurs	NOM	secteur
luron	NOM	luron
et	KON	et
héricourtois	NOM	héricourtois
.	SENT	.
le	DET:ART	le
bulletin	NOM	bulletin
délivré	VER:pper	délivrer
par	PRP	par
météo	ADJ	météo
france	NOM	france
a	VER:pres	avoir
été	VER:pper	être
étudié	VER:pper	étudier
et	KON	et
analysé	VER:pper	analyser
avec	PRP	avec
une	DET:ART	un
rigueur	NOM	rigueur
toute	PRO:IND	tout
professionnelle	NOM	professionnel
.	SENT	.
une	DET:ART	un
armada	NOM	armada
de	PRP	de
saleuses	NOM	saleur
ont	VER:pres	avoir
été	VER:pper	être
sollicitées	VER:pper	solliciter
dans	PRP	dans
tous	PRO:IND	tout
les	DET:ART	le
cantons	NOM	canton
haut-saônois	ADJ	haut-saônois
pour	PRP	pour
semer	VER:infi	semer
l'	DET:ART	le
espoir	NOM	espoir
chez	PRP	chez
les	DET:ART	le
automobilistes	NOM	automobiliste
.	SENT	.
le	DET:ART	le
ramassage	NOM	ramassage
scolaire	ADJ	scolaire
n'	ADV	ne
a	VER:pres	avoir
été	VER:pper	être
que	KON	que
partiellement	ADV	partiellement
assuré	VER:pper	assurer
.	SENT	.
«	PUN:cit	«
nous	PRO:PER	nous
n'	ADV	ne
avons	VER:pres	avoir
pas	ADV	pas
pris	VER:pper	prendre
de	PRP	de
décision	NOM	décision
générale	ADJ	général
comme	KON	comme
dans	PRP	dans
d'	PRP	de
autres	ADJ	autre
départements	NOM	département
»,	ADJ	»,
précise	ADJ	précis
jean-louis	NOM	jean-louis
guerriero	NOM	guerriero
,	PUN	,
le	DET:ART	le
directeur	NOM	directeur
départemental	ADJ	départemental
des	PRP:det	du
services	NOM	service
techniques	ADJ	technique
et	KON	et
des	PRP:det	du
transports	NOM	transport
.	SENT	.
«	PUN:cit	«
nous	PRO:PER	nous
avons	VER:pres	avoir
suivi	VER:pper	suivre
les	DET:ART	le
consignes	NOM	consigne
que	PRO:REL	que
nous	PRO:PER	nous
développons	VER:pres	développer
de	PRP	de
manière	NOM	manière
permanente	ADJ	permanent
avec	PRP	avec
les	DET:ART	le
sociétés	NOM	société
de	PRP	de
ramassage	NOM	ramassage
.	SENT	.
chacun	PRO:IND	chacun
connaît	VER:pres	connaître
sa	DET:POS	son
tournée	NOM	tournée
,	PUN	,
ses	DET:POS	son
capacités	NOM	capacité
de	PRP	de
conduite	NOM	conduite
...	PUN	...
nous	PRO:PER	nous
apprécions	VER:pres	apprécier
donc	ADV	donc
au	PRP:det	au
coup	NOM	coup
par	PRP	par
coup	NOM	coup
.	SENT	.
a	VER:pres	avoir
ma	DET:POS	mon
connaissance	NOM	connaissance
,	PUN	,
aucun	PRO:IND	aucun
accident	NOM	accident
n'	ADV	ne
est	VER:pres	être
d'	PRP	de
ailleurs	ADV	ailleurs
à	PRP	à
déplorer	VER:infi	déplorer
»	PUN:cit	»
40	NUM	@card@
%	SYM	%
des	PRP:det	du
ramassages	NOM	ramassage
dans	PRP	dans
l'	DET:ART	le
ouest	NOM	ouest
du	PRP:det	du
département	NOM	département
et	KON	et
70	NUM	@card@
à	PRP	à
80	NUM	@card@
%	SYM	%
dans	PRP	dans
l'	DET:ART	le
est	NOM	est
ont	VER:pres	avoir
été	VER:pper	être
assurés	VER:pper	assurer
.	SENT	.
depuis	PRP	depuis
lundi	NOM	lundi
16	NUM	@card@
h	ABR	heure
et	KON	et
le	DET:ART	le
début	NOM	début
de	PRP	de
la	DET:ART	le
contre-offensive	NOM	contre-offensive
des	PRP:det	du
agents	NOM	agent
de	PRP	de
la	DET:ART	le
dde	NOM	dde
,	PUN	,
quelque	PRO:IND	quelque
1.500	NUM	@card@
tonnes	NOM	tonne
de	PRP	de
sel	NOM	sel
ont	VER:pres	avoir
été	VER:pper	être
déversées	VER:pper	déverser
sur	PRP	sur
les	DET:ART	le
routes	NOM	route
haut-saônoises	ADJ	haut-saônoises
.	SENT	.
y	PRO:PER	y
compris	VER:pper	comprendre
sur	PRP	sur
les	DET:ART	le
plus	ADV	plus
petits	ADJ	petit
axes	NOM	axe
généralement	ADV	généralement
exclus	VER:pper	exclure
du	PRP:det	du
dispositif	NOM	dispositif
de	PRP	de
salage	NOM	salage
.	SENT	.
en	PRP	en
incluant	VER:ppre	inclure
les	DET:ART	le
frais	NOM	frai|frais
en	PRP	en
hommes	NOM	homme
,	PUN	,
en	PRP	en
matériels	NOM	matériel
et	KON	et
en	PRP	en
produits	NOM	produit
,	PUN	,
une	DET:ART	un
tonne	NOM	tonne
de	PRP	de
sel	NOM	sel
coûte	VER:pres	coûter
100	NUM	@card@
.	ABR	.
