quelques	PRO:IND	quelque
échos	NOM	écho
de	PRP	de
la	DET:ART	le
dernière	ADJ	dernier
réunion	NOM	réunion
:	PUN	:
travaux	NOM	travail
onf	NOM	onf
2003	NUM	@card@
:	PUN	:
les	DET:ART	le
subventions	NOM	subvention
2001	ABR	@card@
seront	VER:futu	être
a	VER:pres	avoir
toucher	VER:infi	toucher
après	PRP	après
la	DET:ART	le
réception	NOM	réception
des	PRP:det	du
travaux	NOM	travail
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
vote	VER:pres	voter
le	DET:ART	le
report	NOM	report
des	PRP:det	du
travaux	NOM	travail
de	PRP	de
nettoyage	NOM	nettoyage
(	PUN	(
1,5	NUM	@card@
ha	ABR	ha
plantés	NOM	planté
).	VER:subi	).
il	PRO:PER	il
accepte	VER:pres	accepter
le	DET:ART	le
programme	NOM	programme
2003	NUM	@card@
comme	KON	comme
suit	VER:pres	suivre
:	PUN	:
-	PUN	-
programme	NOM	programme
subventionné	ADJ	subventionné
:	PUN	:
nettoyage	NOM	nettoyage
de	PRP	de
4	NUM	@card@
ha	ABR	ha
pour	PRP	pour
19,65	NUM	@card@
	NOM	
-	PUN	-
programme	VER:pres	programmer
non	ADV	non
subventionné	VER:pper	subventionner
:	PUN	:
nettoyage	NOM	nettoyage
de	PRP	de
4	NUM	@card@
ha	ABR	ha
56	NUM	@card@
limite	NOM	limite
des	PRP:det	du
parcelles	NOM	parcelle
21	NUM	@card@
e	VER:simp	e
t	VER:pper	t
24	NUM	@card@
(	PUN	(
512	NUM	@card@
o	NOM	o
1	NUM	@card@
),	NOM	),
dégagement	NOM	dégagement
des	PRP:det	du
plantations	NOM	plantation
environ	PRP	environ
1000	NUM	@card@
euros	NOM	euro
.	SENT	.
suivi	VER:pper	suivre
agronomique	ADJ	agronomique
des	PRP:det	du
boues	NOM	boue
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
accepte	VER:pres	accepter
de	PRP	de
renouveler	VER:infi	renouveler
la	DET:ART	le
convention	NOM	convention
pour	PRP	pour
le	DET:ART	le
suivi	NOM	suivi
agronomique	ADJ	agronomique
des	PRP:det	du
boues	NOM	boue
des	PRP:det	du
années	NOM	année
2003	NUM	@card@
et	KON	et
2004	NUM	@card@
pour	PRP	pour
la	DET:ART	le
somme	NOM	somme
de	PRP	de
2.17	NUM	@card@
o	VER:simp	o
	ADJ	
ttc	NOM	ttc
.	SENT	.
rénovation	NOM	rénovation
de	PRP	de
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
du	PRP:det	du
mur	NOM	mur
du	PRP:det	du
cimetière	NOM	cimetière
de	PRP	de
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
pompes	NOM	pompe
,	PUN	,
de	PRP	de
la	DET:ART	le
façade	NOM	façade
de	PRP	de
l'	DET:ART	le
école	NOM	école
,	PUN	,
travaux	NOM	travail
sur	PRP	sur
les	DET:ART	le
becs	NOM	bec
de	PRP	de
rue	NOM	rue
,	PUN	,
sur	PRP	sur
la	DET:ART	le
route	NOM	route
,	PUN	,
saignée	VER:pper	saigner
des	PRP:det	du
accotements	NOM	accotement
,	PUN	,
en	PRP	en
fonction	NOM	fonction
des	PRP:det	du
disponibilités	NOM	disponibilité
budgétaire	ADJ	budgétaire
.	SENT	.
rappel	NOM	rappel
:	PUN	:
il	PRO:PER	il
est	VER:pres	être
interdit	VER:pper	interdire
de	PRP	de
laver	VER:infi	laver
les	DET:ART	le
voitures	NOM	voiture
à	PRP	à
la	DET:ART	le
fontaine	NOM	fontaine
de	PRP	de
barchet	NOM	barchet
,	PUN	,
de	PRP	de
laisser	VER:infi	laisser
les	DET:ART	le
chiens	NOM	chien
divaguer	VER:infi	divaguer
.	SENT	.
