ce	PRO:DEM	ce
week-end	NOM	week-end
avait	VER:impf	avoir
lieu	NOM	lieu
l'	DET:ART	le
open	ADJ	open
de	PRP	de
natation	NOM	natation
de	PRP	de
strasbourg	NOM	strasbourg
.	SENT	.
un	DET:ART	un
moment	NOM	moment
important	ADJ	important
de	PRP	de
la	DET:ART	le
saison	NOM	saison
pour	PRP	pour
le	DET:ART	le
club	NOM	club
nautique	ADJ	nautique
(	PUN	(
cn	NOM	cn
)	PUN	)
de	PRP	de
neufchâteau	NOM	neufchâteau
.	SENT	.
les	DET:ART	le
nageurs	NOM	nageur
sont	VER:pres	être
partis	VER:pper	partir
vendredi	NOM	vendredi
accompagnés	VER:pper	accompagner
des	PRP:det	du
entraîneurs	NOM	entraîneur
et	KON	et
de	PRP	de
parents	NOM	parent|parents
,	PUN	,
en	PRP	en
direction	NOM	direction
de	PRP	de
la	DET:ART	le
capitale	NOM	capitale
alsacienne	ADJ	alsacien
.	SENT	.
le	DET:ART	le
week-end	NOM	week-end
s'	PRO:PER	se
annonçait	VER:impf	annoncer
bien	ADV	bien
.	SENT	.
mais	KON	mais
en	PRP	en
cours	NOM	cour|cours
de	PRP	de
route	NOM	route
,	PUN	,
un	NUM	un
des	PRP:det	du
véhicules	NOM	véhicule
du	PRP:det	du
convoi	NOM	convoi
est	VER:pres	être
tombé	VER:pper	tomber
en	PRP	en
panne	NOM	panne
sur	PRP	sur
l'	DET:ART	le
autoroute	NOM	autoroute
.	SENT	.
l'	DET:ART	le
incident	NOM	incident
a	VER:pres	avoir
engendré	VER:pper	engendrer
un	DET:ART	un
retard	NOM	retard
de	PRP	de
plus	ADV	plus
de	PRP	de
trois	NUM	trois
heures	NOM	heure
.	SENT	.
le	DET:ART	le
cn	NOM	cn
est	VER:pres	être
arrivé	VER:pper	arriver
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
tout	ADV	tout
juste	ADJ	juste
à	PRP	à
temps	NOM	temps
pour	PRP	pour
assister	VER:infi	assister
au	PRP:det	au
show	NOM	show
aquatique	ADJ	aquatique
organisé	VER:pper	organiser
avec	PRP	avec
les	DET:ART	le
plus	ADV	plus
grands	ADJ	grand
nageurs	NOM	nageur
internationaux	ADJ	international
(	PUN	(
franck	NOM	franck
esposito	NOM	esposito
,	PUN	,
virginie	NOM	virginie
dedieux	NOM	dedieux
...).	VER:subi	...).
encore	ADV	encore
fallait-il	VER:impf	fallait-il
trouver	VER:infi	trouver
de	PRP	de
la	DET:ART	le
place	NOM	place
dans	PRP	dans
l'	DET:ART	le
enceinte	NOM	enceinte
,	PUN	,
qui	PRO:REL	qui
affichait	VER:impf	afficher
complet	ADJ	complet
!	SENT	!
finalement	ADV	finalement
,	PUN	,
l'	DET:ART	le
équipée	NOM	équipée
a	VER:pres	avoir
pu	VER:pper	pouvoir
suivre	VER:infi	suivre
le	DET:ART	le
spectacle	NOM	spectacle
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
terminé	VER:pper	terminer
tard	ADV	tard
.	SENT	.
rentrés	VER:pper	rentrer
à	PRP	à
1	NUM	@card@
h	ABR	heure
du	PRP:det	du
matin	NOM	matin
à	PRP	à
leur	DET:POS	leur
hôtel	NOM	hôtel
,	PUN	,
les	DET:ART	le
jeunes	ADJ	jeune
nageurs	NOM	nageur
n'	ADV	ne
avaient	VER:impf	avoir
pas	ADV	pas
encore	ADV	encore
dîné	VER:pper	dîner
.	SENT	.
le	DET:ART	le
lendemain	NOM	lendemain
,	PUN	,
le	DET:ART	le
réveil	NOM	réveil
fut	VER:simp	être
plutôt	ADV	plutôt
difficile	ADJ	difficile
.	SENT	.
ils	PRO:PER	il
devaient	VER:impf	devoir
se	PRO:PER	se
lever	VER:infi	lever
à	PRP	à
6	NUM	@card@
h	ABR	heure
car	KON	car
les	DET:ART	le
compétitions	NOM	compétition
débutaient	VER:impf	débuter
à	PRP	à
7	NUM	@card@
h	ABR	heure
30	NUM	@card@
!	SENT	!
«	PUN:cit	«
ils	PRO:PER	il
n'	ADV	ne
étaient	VER:impf	être
pas	ADV	pas
très	ADV	très
frais	ADJ	frais
mais	KON	mais
très	ADV	très
contents	ADJ	content
de	PRP	de
leur	DET:POS	leur
soirée	NOM	soirée
»,	ADJ	»,
raconte	VER:pres	raconter
gino	NOM	gino
turrato	ADJ	turrato
,	PUN	,
l'	DET:ART	le
entraîneur	NOM	entraîneur
du	PRP:det	du
cn	NOM	cn
.	SENT	.
