bsf	NOM	bsf
ùla	VER:simp	ùla
boule	NOM	boule
sportive	ADJ	sportif
finnoise	ADJ	finnois
tiendra	VER:futu	tenir
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
samedi	NOM	samedi
11	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
rostand	ADJ	rostand
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
:	PUN	:
compte	VER:pres	compter
rendu	VER:pper	rendre
moral	ADJ	moral
et	KON	et
financier	ADJ	financier
,	PUN	,
bilan	NOM	bilan
saison	NOM	saison
2002	NUM	@card@
et	KON	et
horizon	NOM	horizon
2003	NUM	@card@
renouvellement	NOM	renouvellement
du	PRP:det	du
bureau	NOM	bureau
.	SENT	.
séance	NOM	séance
ouverte	ADJ	ouvert
au	PRP:det	au
public	NOM	public
.	SENT	.
concours	NOM	concours
de	PRP	de
tarot	NOM	tarot
le	DET:ART	le
football-club	NOM	football-club
local	ADJ	local
organise	VER:pres	organiser
son	DET:POS	son
concours	NOM	concours
annuel	ADJ	annuel
de	PRP	de
tarot	NOM	tarot
,	PUN	,
dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
rostand	ADJ	rostand
,	PUN	,
place	NOM	place
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
inscriptions	NOM	inscription
à	PRP	à
partir	VER:infi	partir
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
début	NOM	début
du	PRP:det	du
jeu	NOM	jeu
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
buvette	NOM	buvette
et	KON	et
restauration	NOM	restauration
assurées	VER:pper	assurer
.	SENT	.
aînés	NOM	aîné
ruraux	ADJ	rural
le	DET:ART	le
club	NOM	club
des	PRP:det	du
aînés	NOM	aîné
ruraux	ADJ	rural
tiendra	VER:futu	tenir
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
mercredi	NOM	mercredi
15	NUM	@card@
janvier	NOM	janvier
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
rostand	ADJ	rostand
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
:	PUN	:
compte-rendu	NOM	compte-rendu
moral	ADJ	moral
et	KON	et
financier	ADJ	financier
et	KON	et
renouvellement	NOM	renouvellement
du	PRP:det	du
bureau	NOM	bureau
.	SENT	.
afa	VER:simp	afa
les	DET:ART	le
sources	NOM	source
ùl'afa	VER:simp	ùl'afa
les	DET:ART	le
sources	NOM	source
tiendra	VER:futu	tenir
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
vendredi	NOM	vendredi
24	NUM	@card@
janvier	NOM	janvier
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
rostand	ADJ	rostand
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
:	PUN	:
compte-rendu	NOM	compte-rendu
moral	ADJ	moral
et	KON	et
financier	ADJ	financier
,	PUN	,
bilan	NOM	bilan
de	PRP	de
la	DET:ART	le
saison	NOM	saison
2002	NUM	@card@
horizon	NOM	horizon
2003	NUM	@card@
et	KON	et
renouvellement	NOM	renouvellement
du	PRP:det	du
bureau	NOM	bureau
.	SENT	.
