ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
du	PRP:det	du
larmont	VER:futu	larmont
,	PUN	,
les	DET:ART	le
masculins	ADJ	masculin
en	PRP	en
n	NOM	n
3	NUM	@card@
reçoivent	VER:pres	recevoir
reims	NOM	reims
.	SENT	.
bennes	NOM	benne
,	PUN	,
decreuse	NOM	decreuse
,	PUN	,
leclerc	NOM	leclerc
blessés	ADJ	blessé
,	PUN	,
voirin	NOM	voirin
incertain	ADJ	incertain
,	PUN	,
les	DET:ART	le
hommes	NOM	homme
d'	PRP	de
a	VER:pres	avoir
.	SENT	.
bidaux	ADJ	bidaux
ne	ADV	ne
partent	VER:pres	partir
pas	ADV	pas
avec	PRP	avec
les	DET:ART	le
faveurs	NOM	faveur
du	PRP:det	du
pronostic	NOM	pronostic
face	NOM	face
à	PRP	à
des	PRP:det	du
champenois	NOM	champenois
qui	PRO:REL	qui
avaient	VER:impf	avoir
remporté	VER:pper	remporter
le	DET:ART	le
match	NOM	match
aller	VER:infi	aller
.	SENT	.
a	VER:pres	avoir
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
l'	DET:ART	le
équipe	NOM	équipe
réserve	VER:pres	réserver
affronte	VER:pres	affronter
moirans	NOM	moirans
.	SENT	.
les	DET:ART	le
filles	NOM	fille
de	PRP	de
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
en	PRP	en
excellence	NOM	excellence
jouent	VER:pres	jouer
contre	PRP	contre
melisey-saint-barthélemy	NOM	melisey-saint-barthélemy
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
et	KON	et
l'	DET:ART	le
équipe	NOM	équipe
honneur	NOM	honneur
donne	VER:pres	donner
la	DET:ART	le
réplique	NOM	réplique
à	PRP	à
baume-les-dames	NOM	baume-les-dames
à	PRP	à
15	NUM	@card@
h.	ABR	h.
a	VER:pres	avoir
léo-lagrange	NOM	léo-lagrange
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
garçons	NOM	garçon
de	PRP	de
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
accueillent	VER:pres	accueillir
noidans	ADJ	noidans
,	PUN	,
les	DET:ART	le
masculins	ADJ	masculin
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
3	NUM	@card@
en	PRP	en
honneur	NOM	honneur
reçoivent	VER:pres	recevoir
saint-claude	NOM	saint-claude
(	PUN	(
a	VER:pres	avoir
),	NOM	),
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
les	DET:ART	le
seniors	NOM	senior
2	NUM	@card@
féminines	ADJ	féminin
jouent	VER:pres	jouer
contre	PRP	contre
saône-mamirolle	NOM	saône-mamirolle
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
dimanche	NOM	dimanche
,	PUN	,
au	PRP:det	au
larmont	VER:futu	larmont
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
filles	NOM	fille
de	PRP	de
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
(	PUN	(
b	VER:pper	b
)	PUN	)
se	PRO:PER	se
mesurent	VER:pres	mesurer
à	PRP	à
arbois	NOM	arbois
et	KON	et
l'	DET:ART	le
après-midi	NOM	après-midi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
masculins	ADJ	masculin
de	PRP	de
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
reçoivent	VER:pres	recevoir
chaussin	NOM	chaussin
.	SENT	.
