mercredi	NOM	mercredi
à	PRP	à
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
:	PUN	:
«	PUN:cit	«
en	PRP	en
lorraine	ADJ	lorrain
»,	NOM	»,
un	DET:ART	un
nouveau	ADJ	nouveau
magazine	NOM	magazine
.	SENT	.
«	PUN:cit	«
en	PRP	en
lorraine	NOM	lorrain
»	PUN:cit	»
est	VER:pres	être
un	DET:ART	un
nouveau	ADJ	nouveau
magazine	NOM	magazine
de	PRP	de
territoire	NOM	territoire
,	PUN	,
publié	VER:pper	publier
par	PRP	par
france	NOM	france
territoire	NOM	territoire
magazine	NOM	magazine
.	SENT	.
il	PRO:PER	il
sort	VER:pres	sortir
cette	PRO:DEM	ce
semaine	NOM	semaine
en	PRP	en
kiosque	NOM	kiosque
.	SENT	.
au	PRP:det	au
sommaire	NOM	sommaire
:	PUN	:
le	DET:ART	le
portrait	NOM	portrait
d'	PRP	de
un	DET:ART	un
mineur	NOM	mineur
du	PRP:det	du
bassin	NOM	bassin
houiller	ADJ	houiller
,	PUN	,
un	DET:ART	un
fruticulteur	NOM	fruticulteur
de	PRP	de
meuse	NOM	meuse
,	PUN	,
un	DET:ART	un
maître-verrier	NOM	maître-verrier
de	PRP	de
baccarat	NOM	baccarat
et	KON	et
bien	ADV	bien
d'	PRP	de
autres	ADJ	autre
articles	NOM	article
sur	PRP	sur
le	DET:ART	le
pays	NOM	pays
lorrain	ADJ	lorrain
.	SENT	.
philippe	ADJ	philippe
heinen	NOM	heinen
a	VER:pres	avoir
rencontré	VER:pper	rencontrer
claude	NOM	claude
vautrin	ADJ	vautrin
,	PUN	,
rédacteur	NOM	rédacteur
en	PRP	en
chef	NOM	chef
.	SENT	.
jeudi	NOM	jeudi
7	NUM	@card@
h	ABR	heure
55	NUM	@card@
:	PUN	:
«	PUN:cit	«
mange-moi	NOM	mange-moi
»	PUN:cit	»
en	PRP	en
concert	NOM	concert
à	PRP	à
la	DET:ART	le
mjc	ADJ	mjc
pichon	NOM	pichon
depuis	PRP	depuis
un	DET:ART	un
mois	NOM	moi|mois
,	PUN	,
le	DET:ART	le
groupe	NOM	groupe
«	PUN:cit	«
mange-moi	NOM	mange-moi
»	PUN:cit	»
est	VER:pres	être
en	PRP	en
résidence	NOM	résidence
à	PRP	à
la	DET:ART	le
mjc	ADJ	mjc
pichon	NOM	pichon
de	PRP	de
nancy	NOM	nancy
(	PUN	(
rappelons	VER:pres	rappeler
que	KON	que
ce	PRO:DEM	ce
groupe	NOM	groupe
était	VER:impf	être
le	DET:ART	le
vainqueur	NOM	vainqueur
2002	NUM	@card@
du	PRP:det	du
tremplin	NOM	tremplin
de	PRP	de
la	DET:ART	le
chanson	NOM	chanson
française	ADJ	français
mjc	ADJ	mjc
pichon	NOM	pichon
).	VER:subi	).
les	DET:ART	le
musiciens	NOM	musicien
rencontrent	VER:pres	rencontrer
des	PRP:det	du
professionnels	NOM	professionnel
du	PRP:det	du
spectacle	NOM	spectacle
et	KON	et
présenteront	VER:futu	présenter
leur	DET:POS	leur
concert	NOM	concert
vendredi	NOM	vendredi
14	NUM	@card@
février	NOM	février
à	PRP	à
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
pichon	NOM	pichon
.	SENT	.
le	DET:ART	le
point	NOM	point
d'	PRP	de
orgue	NOM	orgue
avec	PRP	avec
olivier	NOM	olivier
,	PUN	,
le	DET:ART	le
trompettiste	NOM	trompettiste
.	SENT	.
mardi	NOM	mardi
à	PRP	à
12	NUM	@card@
h	ABR	heure
45	NUM	@card@
et	KON	et
jeudi	NOM	jeudi
à	PRP	à
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
prigionero	NOM	prigionero
»	PUN:cit	»
à	PRP	à
l'	DET:ART	le
opéra	NOM	opéra
de	PRP	de
nancy	NOM	nancy
«	PUN:cit	«
il	PRO:PER	il
prigionero	NOM	prigionero
»	PUN:cit	»
est	VER:pres	être
un	DET:ART	un
opéra	NOM	opéra
en	PRP	en
un	DET:ART	un
prologue	NOM	prologue
et	KON	et
un	DET:ART	un
acte	NOM	acte
de	PRP	de
luigi	NOM	luigi
dallapiccola	VER:simp	dallapiccola
.	SENT	.
a	VER:pres	avoir
découvrir	VER:infi	découvrir
à	PRP	à
l'	DET:ART	le
opéra	NOM	opéra
de	PRP	de
nancy	NOM	nancy
du	PRP:det	du
14	NUM	@card@
au	PRP:det	au
22	NUM	@card@
février	NOM	février
.	SENT	.
parcours	NOM	parcours
avec	PRP	avec
carmelo	ADJ	carmelo
agnello	NOM	agnello
,	PUN	,
metteur	NOM	metteur
en	PRP	en
scène	NOM	scène
de	PRP	de
cette	PRO:DEM	ce
	ADJ	
uvre	NOM	uvre
magistrale	ADJ	magistral
dont	PRO:REL	dont
les	DET:ART	le
maîtres	NOM	maître
mots	NOM	mot
sont	VER:pres	être
la	DET:ART	le
liberté	NOM	liberté
et	KON	et
l'	DET:ART	le
enfermement	NOM	enfermement
.	SENT	.
mardi	NOM	mardi
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
et	KON	et
vendredi	NOM	vendredi
12	NUM	@card@
h	ABR	heure
45	NUM	@card@
:	PUN	:
troisième	NUM	troisième
édition	NOM	édition
des	PRP:det	du
