m.	ABR	m.
jacques	NOM	jacque|jacques
villemin	NOM	villemin
42	NUM	@card@
rue	NOM	rue
du	PRP:det	du
périgord	NOM	périgord
25000	NUM	@card@
besançon	NOM	besançon
alors	ADV	alors
que	KON	que
2002	NUM	@card@
et	KON	et
son	DET:POS	son
cortège	NOM	cortège
d'	PRP	de
événements	NOM	événement
heureux	ADJ	heureux
et	KON	et
malheureux	ADJ	malheureux
,	PUN	,
de	PRP	de
surprises	NOM	surprise
bonnes	ADJ	bon
et	KON	et
mauvaises	ADJ	mauvais
s'	PRO:PER	se
effacent	VER:pres	effacer
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
avenir	NOM	avenir
immédiat	ADJ	immédiat
,	PUN	,
chargé	VER:pper	charger
d'	PRP	de
incertitudes	NOM	incertitude
,	PUN	,
lourd	ADJ	lourd
de	PRP	de
menaces	NOM	menace
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
annonce	VER:pres	annoncer
avec	PRP	avec
2003	NUM	@card@
partout	ADV	partout
,	PUN	,
un	DET:ART	un
terrorisme	NOM	terrorisme
aveugle	ADJ	aveugle
,	PUN	,
barbare	ADJ	barbare
et	KON	et
la	DET:ART	le
folie	NOM	folie
meurtrière	ADJ	meurtrier
de	PRP	de
fanatiques	NOM	fanatique
menacent	VER:pres	menacer
d'	PRP	de
innocentes	ADJ	innocent
victimes	NOM	victime
.	SENT	.
au	PRP:det	au
proche-orient	NOM	proche-orient
,	PUN	,
l'	DET:ART	le
orgueil	NOM	orgueil
d'	PRP	de
un	DET:ART	un
chef	NOM	chef
d'	PRP	de
etat	NOM	etat
d'	PRP	de
une	DET:ART	un
part	NOM	part
,	PUN	,
le	DET:ART	le
fanatisme	NOM	fanatisme
des	PRP:det	du
extrémistes	NOM	extrémiste
d'	PRP	de
autre	ADJ	autre
part	NOM	part
,	PUN	,
rendent	VER:pres	rendre
plus	ADV	plus
improbable	ADJ	improbable
que	KON	que
jamais	ADV	jamais
tout	PRO:IND	tout
espoir	NOM	espoir
de	PRP	de
paix	NOM	paix
.	SENT	.
l'	DET:ART	le
orgueil	NOM	orgueil
blessé	VER:pper	blesser
d'	PRP	de
une	DET:ART	un
grande	ADJ	grand
nation	NOM	nation
justifie-t-elle	VER:pres	justifie-t-elle
un	DET:ART	un
conflit	NOM	conflit
en	PRP	en
irak	NOM	irak
,	PUN	,
dans	PRP	dans
une	DET:ART	un
région	NOM	région
du	PRP:det	du
monde	NOM	monde
dont	PRO:REL	dont
les	DET:ART	le
peuples	NOM	peuple
sont	VER:pres	être
déjà	ADV	déjà
cruellement	ADV	cruellement
éprouvés	VER:pper	éprouver
par	PRP	par
tant	ADV	tant
de	PRP	de
drames	NOM	drame
.	SENT	.
l'	DET:ART	le
orgueil	NOM	orgueil
d'	PRP	de
une	DET:ART	un
nation	NOM	nation
n'	ADV	ne
est	VER:pres	être
rien	ADV	rien
d'	PRP	de
autre	ADJ	autre
que	KON	que
celui	PRO:DEM	celui
de	PRP	de
ceux	PRO:DEM	celui
qui	PRO:REL	qui
la	PRO:PER	la
dirige	VER:pres	diriger
.	SENT	.
qui	PRO	qui
dira	VER:futu	dire
la	DET:ART	le
part	NOM	part
de	PRP	de
l'	DET:ART	le
orgueil	NOM	orgueil
dans	PRP	dans
le	DET:ART	le
malheur	NOM	malheur
des	PRP:det	du
peuples	NOM	peuple
?	SENT	?
a	VER:pres	avoir
l'	DET:ART	le
heure	NOM	heure
de	PRP	de
former	VER:infi	former
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
souhaiter	VER:infi	souhaiter
de	PRP	de
toutes	PRO:IND	tout
ses	DET:POS	son
forces	NOM	force|forces
la	DET:ART	le
victoire	NOM	victoire
de	PRP	de
la	DET:ART	le
raison	NOM	raison
sur	PRP	sur
la	DET:ART	le
folie	NOM	folie
et	KON	et
sur	PRP	sur
l'	DET:ART	le
orgueil	NOM	orgueil
.	SENT	.
