bibliothèque	NOM	bibliothèque
pour	PRP	pour
tous	PRO:IND	tout
:	PUN	:
ouverte	VER:pper	ouvrir
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
couyba	VER:simp	couyba
.	SENT	.
habitat	NOM	habitat
:	PUN	:
permanence	NOM	permanence
d'	PRP	de
un	DET:ART	un
conseiller	NOM	conseiller
du	PRP:det	du
cdhru/cal	ADJ	cdhru/cal
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
musculation	NOM	musculation
:	PUN	:
séances	NOM	séance
avec	PRP	avec
«	PUN:cit	«
cultur	NOM	cultur
o'	ADJ	o'
corps	NOM	corps
»	PUN:cit	»
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
accueil	NOM	accueil
périscolaire	ADJ	périscolaire
:	PUN	:
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
menu	NOM	menu
:	PUN	:
tableaux	NOM	tableau
d'	PRP	de
artistes	NOM	artiste
.	SENT	.
contact	NOM	contact
:	PUN	:
en	PRP	en
mairie	NOM	mairie
.	SENT	.
