si	KON	si
les	DET:ART	le
tout-petits	NOM	tout-petit
de	PRP	de
la	DET:ART	le
maternelle	ADJ	maternel
ont	VER:pres	avoir
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
matins	NOM	matin
de	PRP	de
la	DET:ART	le
semaine	NOM	semaine
,	PUN	,
des	PRP:det	du
collations	NOM	collation
sur	PRP	sur
des	PRP:det	du
thèmes	NOM	thème
différents	ADJ	différent
,	PUN	,
une	DET:ART	un
fois	NOM	foi|fois
par	PRP	par
semaine	NOM	semaine
,	PUN	,
les	DET:ART	le
primaires	NOM	primaire
ont	VER:pres	avoir
également	ADV	également
droit	ADJ	droit
à	PRP	à
un	DET:ART	un
traitement	NOM	traitement
de	PRP	de
«	PUN:cit	«
douceurs	NOM	douceur
».	VER:impf	».
le	DET:ART	le
système	NOM	système
est	VER:pres	être
simple	ADJ	simple
,	PUN	,
les	DET:ART	le
parents	NOM	parent|parents
peuvent	VER:pres	pouvoir
acheter	VER:infi	acheter
une	DET:ART	un
carte	NOM	carte
avec	PRP	avec
cases	NOM	case
pour	PRP	pour
2	NUM	@card@
	NOM	
les	DET:ART	le
10	NUM	@card@
goûters	NOM	goûter
.	SENT	.
ce	PRO:DEM	ce
sont	VER:pres	être
les	DET:ART	le
astem	NOM	astem
qui	PRO:REL	qui
gèrent	VER:pres	gérer
la	DET:ART	le
distribution	NOM	distribution
des	PRP:det	du
gâteaux	NOM	gâteau
confectionnés	VER:pper	confectionner
par	PRP	par
les	DET:ART	le
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
avec	PRP	avec
la	DET:ART	le
pose	NOM	pose
d'	PRP	de
un	DET:ART	un
tampon	NOM	tampon
sur	PRP	sur
une	DET:ART	un
case	NOM	case
.	SENT	.
les	DET:ART	le
bénéfices	NOM	bénéfice
allant	VER:ppre	aller
à	PRP	à
la	DET:ART	le
caisse	NOM	caisse
de	PRP	de
l'	DET:ART	le
association	NOM	association
de	PRP	de
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
le	DET:ART	le
«	PUN:cit	«
préau	NOM	préau
»,	ADJ	»,
pour	PRP	pour
des	PRP:det	du
actions	NOM	action
ponctuelles	ADJ	ponctuel
aidant	VER:ppre	aider
les	DET:ART	le
projets	NOM	projet
d'	PRP	de
école	NOM	école
.	SENT	.
