«	PUN:cit	«
espace	NOM	espace
de	PRP	de
paroles	NOM	parole
».	VER:subi	».
le	DET:ART	le
terme	NOM	terme
est	VER:pres	être
explicite	ADJ	explicite
,	PUN	,
l'	DET:ART	le
objectif	NOM	objectif
donné	VER:pper	donner
d'	PRP	de
emblée	ADV	emblée
.	SENT	.
permettre	VER:infi	permettre
aux	PRP:det	au
parents	NOM	parent|parents
de	PRP	de
s'	PRO:PER	se
exprimer	VER:infi	exprimer
,	PUN	,
d'	PRP	de
évoquer	VER:infi	évoquer
leurs	DET:POS	leur
problèmes	NOM	problème
,	PUN	,
de	PRP	de
s'	PRO:PER	se
entraider	VER:infi	entraider
ou	KON	ou
tout	ADV	tout
simplement	ADV	simplement
de	PRP	de
se	PRO:PER	se
retrouver	VER:infi	retrouver
.	SENT	.
voilà	ADV	voilà
le	DET:ART	le
but	NOM	but
de	PRP	de
cette	PRO:DEM	ce
toute	PRO:IND	tout
nouvelle	ADJ	nouveau
association	NOM	association
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
la	DET:ART	le
demande	NOM	demande
des	PRP:det	du
principaux	NOM	principal
intéressés	ADJ	intéressé
qu'	PRO:REL	que
elle	PRO:PER	elle
a	VER:pres	avoir
vu	VER:pper	voir
le	DET:ART	le
jour	NOM	jour
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
le	DET:ART	le
mérite	NOM	mérite
d'	PRP	de
associer	VER:infi	associer
,	PUN	,
non	ADV	non
seulement	ADV	seulement
les	DET:ART	le
parents	NOM	parent|parents
,	PUN	,
mais	KON	mais
également	ADV	également
les	DET:ART	le
équipes	NOM	équipe
pédagogiques	ADJ	pédagogique
.	SENT	.
le	DET:ART	le
meilleur	ADJ	meilleur
moyen	NOM	moyen
de	PRP	de
mettre	VER:infi	mettre
en	PRP	en
place	NOM	place
un	DET:ART	un
dialogue	NOM	dialogue
direct	ADJ	direct
et	KON	et
efficace	ADJ	efficace
.	SENT	.
pour	PRP	pour
permettre	VER:infi	permettre
aux	PRP:det	au
enseignants	NOM	enseignant
de	PRP	de
mieux	ADV	mieux
comprendre	VER:infi	comprendre
les	DET:ART	le
difficultés	NOM	difficulté
des	PRP:det	du
élèves	NOM	élève
et	KON	et
de	PRP	de
leurs	DET:POS	leur
familles	NOM	famille
;	PUN	;
et	KON	et
aux	PRP:det	au
parents	NOM	parent|parents
de	PRP	de
connaître	VER:infi	connaître
plus	ADV	plus
précisément	ADV	précisément
les	DET:ART	le
objectifs	NOM	objectif
et	KON	et
obligations	NOM	obligation
des	PRP:det	du
professeurs	NOM	professeur
.	SENT	.
un	DET:ART	un
dialogue	NOM	dialogue
qui	PRO:REL	qui
ne	ADV	ne
peut	VER:pres	pouvoir
être	VER:infi	être
que	KON	que
constructif	ADJ	constructif
,	PUN	,
si	KON	si
chacun	PRO:IND	chacun
joue	VER:pres	jouer
le	DET:ART	le
jeu	NOM	jeu
de	PRP	de
la	DET:ART	le
transparence	NOM	transparence
,	PUN	,
de	PRP	de
l'	DET:ART	le
explication	NOM	explication
et	KON	et
de	PRP	de
la	DET:ART	le
compréhension	NOM	compréhension
.	SENT	.
la	DET:ART	le
méthode	NOM	méthode
est	VER:pres	être
appliquée	VER:pper	appliquer
pour	PRP	pour
toutes	PRO:IND	tout
les	DET:ART	le
écoles	NOM	école
des	PRP:det	du
résidences	NOM	résidence
.	SENT	.
elle	PRO:PER	elle
mériterait	VER:cond	mériter
d'	PRP	de
être	VER:infi	être
élargie	VER:pper	élargir
à	PRP	à
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
établissements	NOM	établissement
scolaires	ADJ	scolaire
belfortains	ADJ	belfortains
.	SENT	.
