tous	PRO:IND	tout
les	DET:ART	le
membres	NOM	membre
de	PRP	de
l'	PRO:PER	la|le
a	VER:pres	avoir
.	SENT	.
i.c	NOM	i.c
.	SENT	.
a.	ABR	a.
(	PUN	(
association	NOM	association
inter	NOM	inter
communale	ADJ	communal
agréée	VER:pper	agréer
)	PUN	)
de	PRP	de
courtefontaine	NOM	courtefontaine
-	PUN	-
soulce	NOM	soulce
cernaysont	VER:futu	cernaysont
invités	VER:pper	inviter
à	PRP	à
la	DET:ART	le
traditionnelle	ADJ	traditionnel
réunion	NOM	réunion
de	PRP	de
l'	DET:ART	le
association	NOM	association
.	SENT	.
elle	PRO:PER	elle
aura	VER:futu	avoir
lieu	NOM	lieu
le	DET:ART	le
9	NUM	@card@
février	NOM	février
2003	NUM	@card@
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
de	PRP	de
soulce	NOM	soulce
-	PUN	-
cernay	NAM	cernay
.	SENT	.
