aujourd'hui	ADV	aujourd'hui
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
les	DET:ART	le
basketteurs	NOM	basketteur
rencontrent	VER:pres	rencontrer
ceux	PRO:DEM	celui
de	PRP	de
dieuze	NOM	dieuze
.	SENT	.
le	DET:ART	le
match	NOM	match
de	PRP	de
foot	NOM	foot
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
b	ADJ	b
est	VER:pres	être
reporté	VER:pper	reporter
.	SENT	.
lundi	NOM	lundi
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
départ	NOM	départ
de	PRP	de
la	DET:ART	le
randonnée	NOM	randonnée
pédestre	ADJ	pédestre
14	NUM	@card@
h	ABR	heure
:	PUN	:
patchwork	NOM	patchwork
14	NUM	@card@
h	ABR	heure
:	PUN	:
salle	NOM	salle
ste	VER:futu	ste
anne	VER:pper	anne
,	PUN	,
réunion	NOM	réunion
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
du	PRP:det	du
bulletin	NOM	bulletin
paroissial	ADJ	paroissial
.	SENT	.
17	NUM	@card@
h	ABR	heure
10	NUM	@card@
:	PUN	:
reprise	NOM	reprise
des	PRP:det	du
cours	NOM	cour|cours
de	PRP	de
judo	NOM	judo
.	SENT	.
19	NUM	@card@
h	ABR	heure
:	PUN	:
musculation	NOM	musculation
.	SENT	.
mardi	NOM	mardi
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
gym	NOM	gym
volontaire	ADJ	volontaire
.	SENT	.
14	NUM	@card@
h	ABR	heure
:	PUN	:
atelier	NOM	atelier
d'	PRP	de
encadrement	NOM	encadrement
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
stretching	NOM	stretching
.	SENT	.
maison	NOM	maison
paroissiale	ADJ	paroissial
,	PUN	,
réunion	NOM	réunion
de	PRP	de
l'	DET:ART	le
eap	NOM	eap
.	SENT	.
mercredi	NOM	mercredi
14	NUM	@card@
h	ABR	heure
:	PUN	:
cours	NOM	cour|cours
d'	PRP	de
anglais	ADJ	anglais
.	SENT	.
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
:	PUN	:
atelier	NOM	atelier
d'	PRP	de
arts	NOM	art
du	PRP:det	du
cirque	NOM	cirque
.	SENT	.
19	NUM	@card@
h	ABR	heure
:	PUN	:
musculation	NOM	musculation
et	KON	et
gym	NOM	gym
.	SENT	.
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
entraînement	NOM	entraînement
de	PRP	de
foot	NOM	foot
.	SENT	.
jeudi	NOM	jeudi
14	NUM	@card@
h	ABR	heure
:	PUN	:
atelier	NOM	atelier
couture	NOM	couture
.	SENT	.
17	NUM	@card@
h	ABR	heure
10	NUM	@card@
:	PUN	:
premier	NUM	premier
des	PRP:det	du
3	NUM	@card@
cours	NOM	cour|cours
de	PRP	de
judo	NOM	judo
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
gym	NOM	gym
volontaire	ADJ	volontaire
et	KON	et
taï	NOM	taï
chi	NOM	chi
chuan	ADJ	chuan
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
salle	NOM	salle
sainte-bernadette	NOM	sainte-bernadette
,	PUN	,
réunion	NOM	réunion
de	PRP	de
tous	PRO:IND	tout
les	DET:ART	le
catéchistes	NOM	catéchiste
.	SENT	.
vendredi	NOM	vendredi
14	NUM	@card@
h	ABR	heure
:	PUN	:
atelier	NOM	atelier
dentelle	NOM	dentelle
.	SENT	.
18	NUM	@card@
h	ABR	heure
:	PUN	:
célébration	NOM	célébration
de	PRP	de
noël	NOM	noël
et	KON	et
de	PRP	de
l'	DET:ART	le
epiphanie	NOM	epiphanie
à	PRP	à
villey-st-etienne	NOM	villey-st-etienne
pour	PRP	pour
les	DET:ART	le
cm	NOM	cm
1.	PRP	@ord@
19	NUM	@card@
h	ABR	heure
:	PUN	:
musculation	NOM	musculation
et	KON	et
step	NOM	step
.	SENT	.
19	NUM	@card@
h	ABR	heure
:	PUN	:
badminton	NOM	badminton
au	PRP:det	au
gymnase	NOM	gymnase
saint-camille	NOM	saint-camille
.	SENT	.
20	NUM	@card@
h	ABR	heure
:	PUN	:
entraînement	NOM	entraînement
de	PRP	de
basket	NOM	basket
.	SENT	.
samedi	NOM	samedi
18	NUM	@card@
h	ABR	heure
:	PUN	:
présentation	NOM	présentation
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
la	DET:ART	le
municipalité	NOM	municipalité
.	SENT	.
dimanche	NOM	dimanche
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
les	DET:ART	le
basketteurs	NOM	basketteur
jouent	VER:pres	jouer
contre	PRP	contre
dombasle	NOM	dombasle
2	NUM	@card@
