«	PUN:cit	«
alerte	NOM	alerte
rouge	ADJ	rouge
!	SENT	!
»...	ABR	»...
les	DET:ART	le
services	NOM	service
techniques	ADJ	technique
municipaux	ADJ	municipal
,	PUN	,
prévenus	VER:pper	prévenir
par	PRP	par
le	DET:ART	le
maire	NOM	maire
jean-pierre	NOM	jean-pierre
parnisari	ADJ	parnisari
,	PUN	,
ont	VER:pres	avoir
été	VER:pper	être
dès	PRP	dès
samedi	NOM	samedi
après-midi	NOM	après-midi
,	PUN	,
sur	PRP	sur
avis	NOM	avis
du	PRP:det	du
préfet	NOM	préfet
,	PUN	,
mis	VER:pper	mettre
en	PRP	en
astreinte	NOM	astreinte
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
1	NUM	@card@
h	ABR	heure
du	PRP:det	du
matin	NOM	matin
,	PUN	,
frédéric	NOM	frédéric
andrez	ADJ	andrez
et	KON	et
le	DET:ART	le
responsable	ADJ	responsable
daniel	NOM	daniel
sauvage	ADJ	sauvage
,	PUN	,
utilisaient	VER:impf	utiliser
pour	PRP	pour
la	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
le	DET:ART	le
nouveau	ADJ	nouveau
tracteur	NOM	tracteur
de	PRP	de
déneigement	NOM	déneigement
que	KON	que
la	DET:ART	le
commune	NOM	commune
vient	VER:pres	venir
d'	PRP	de
acquérir	VER:infi	acquérir
.	SENT	.
grâce	NOM	grâce
à	PRP	à
cet	PRO:DEM	ce
engin	NOM	engin
équipé	VER:pper	équiper
d'	PRP	de
une	DET:ART	un
lame	NOM	lame
chasse-neige	NOM	chasse-neige
de	PRP	de
deux	NUM	deux
mètres	NOM	mètre
et	KON	et
d'	PRP	de
une	DET:ART	un
saleuse	NOM	saleur
automatique	ADJ	automatique
,	PUN	,
il	PRO:PER	il
leur	PRO:PER	lui
a	VER:pres	avoir
fallu	VER:pper	falloir
dix	NUM	dix
heures	NOM	heure
pour	PRP	pour
traiter	VER:infi	traiter
toutes	PRO:IND	tout
les	DET:ART	le
voiries	NOM	voirie
et	KON	et
ce	PRO:DEM	ce
,	PUN	,
plusieurs	PRO:IND	plusieurs
fois	NOM	foi|fois
.	SENT	.
cinquante	ADJ	cinquante
tonnes	NOM	tonne
de	PRP	de
sel	NOM	sel
sont	VER:pres	être
stockées	VER:pper	stocker
en	PRP	en
permanence	NOM	permanence
près	ADV	près
des	PRP:det	du
services	NOM	service
techniques	ADJ	technique
;	PUN	;
plus	ADV	plus
de	PRP	de
cinq	NUM	cinq
tonnes	NOM	tonne
ont	VER:pres	avoir
été	VER:pper	être
utilisées	VER:pper	utiliser
cette	PRO:DEM	ce
nuit-là	NOM	nuit-là
pour	PRP	pour
le	DET:ART	le
confort	NOM	confort
des	PRP:det	du
habitants	NOM	habitant
.	SENT	.
a	VER:pres	avoir
peine	NOM	peine
reposés	VER:pper	reposer
,	PUN	,
les	DET:ART	le
employés	NOM	employé
municipaux	ADJ	municipal
se	PRO:PER	se
sont	VER:pres	être
affairés	VER:pper	affairer
auprès	ADV	auprès
des	PRP:det	du
écoles	NOM	école
et	KON	et
de	PRP	de
la	DET:ART	le
zone	NOM	zone
industrielle	ADJ	industriel
.	SENT	.
l'	DET:ART	le
hiver	NOM	hiver
,	PUN	,
une	DET:ART	un
fois	NOM	foi|fois
bien	ADV	bien
installé	VER:pper	installer
,	PUN	,
demande	VER:pres	demander
leur	DET:POS	leur
constante	ADJ	constant
vigilance	NOM	vigilance
.	SENT	.
depuis	PRP	depuis
le	DET:ART	le
début	NOM	début
du	PRP:det	du
mauvais	ADJ	mauvais
temps	NOM	temps
,	PUN	,
chaque	PRO:IND	chaque
nuit	NOM	nuit
,	PUN	,
un	DET:ART	un
employé	NOM	employé
est	VER:pres	être
chargé	VER:pper	charger
de	PRP	de
surveiller	VER:infi	surveiller
la	DET:ART	le
météo	NOM	météo
.	SENT	.
durant	PRP	durant
la	DET:ART	le
journée	NOM	journée
,	PUN	,
les	DET:ART	le
trottoirs	NOM	trottoir
et	KON	et
les	DET:ART	le
escaliers	NOM	escalier
du	PRP:det	du
domaine	NOM	domaine
public	ADJ	public
se	PRO:PER	se
voient	VER:pres	voir
au	PRP:det	au
fur	NOM	fur
et	KON	et
à	PRP	à
mesure	NOM	mesure
déneigés	VER:pper	déneiger
et	KON	et
salés	VER:pper	saler
.	SENT	.
ce	PRO:DEM	ce
travail	NOM	travail
fastidieux	ADJ	fastidieux
a	VER:pres	avoir
été	VER:pper	être
confié	VER:pper	confier
à	PRP	à
arnaud	ADJ	arnaud
henry	NOM	henry
,	PUN	,
un	DET:ART	un
jeune	ADJ	jeune
employé	NOM	employé
motivé	VER:pper	motiver
.	SENT	.
ces	PRO:DEM	ce
trois	NUM	trois
hommes	NOM	homme
des	PRP:det	du
services	NOM	service
techniques	ADJ	technique
ont	VER:pres	avoir
fait	VER:pper	faire
face	NOM	face
avec	PRP	avec
une	DET:ART	un
grande	ADJ	grand
efficacité	NOM	efficacité
à	PRP	à
cette	PRO:DEM	ce
situation	NOM	situation
particulière	ADJ	particulier
et	KON	et
ont	VER:pres	avoir
ainsi	ADV	ainsi
reporté	VER:pper	reporter
à	PRP	à
plus	ADV	plus
tard	ADV	tard
les	DET:ART	le
travaux	NOM	travail
d'	PRP	de
aménagement	NOM	aménagement
prévus	VER:pper	prévoir
dans	PRP	dans
les	DET:ART	le
écoles	NOM	école
.	SENT	.
chacun	PRO:IND	chacun
comprendra	VER:futu	comprendre
!	SENT	!
