«	PUN:cit	«
les	DET:ART	le
serrures	NOM	serrure
sont	VER:pres	être
gelées	VER:pper	geler
.	SENT	.
il	PRO:PER	il
m'	PRO:PER	me
est	VER:pres	être
impossible	ADJ	impossible
de	PRP	de
déplacer	VER:infi	déplacer
ma	DET:POS	mon
voiture	NOM	voiture
ce	PRO:DEM	ce
matin	NOM	matin
».	VER:futu	».
l'	DET:ART	le
agent	NOM	agent
de	PRP	de
police	NOM	police
,	PUN	,
chargé	VER:pper	charger
hier	ADV	hier
de	PRP	de
contrôler	VER:infi	contrôler
les	DET:ART	le
voitures	NOM	voiture
en	PRP	en
stationnement	NOM	stationnement
rue	NOM	rue
des	PRP:det	du
petites-boucheries	NOM	petites-boucheries
,	PUN	,
est	VER:pres	être
resté	VER:pper	rester
froid	ADJ	froid
devant	PRP	devant
ces	PRO:DEM	ce
explications	NOM	explication
sur	PRP	sur
papier	NOM	papier
glacé	ADJ	glacé
.	SENT	.
de	PRP	de
peur	NOM	peur
,	PUN	,
certainement	ADV	certainement
,	PUN	,
de	PRP	de
l'	DET:ART	le
effet	NOM	effet
boule	VER:pres	bouler
de	PRP	de
neige	NOM	neige
...	PUN	...
