c'	PRO:DEM	ce
est	VER:pres	être
sous	PRP	sous
le	DET:ART	le
signe	NOM	signe
de	PRP	de
la	DET:ART	le
bonne	ADJ	bon
humeur	NOM	humeur
qu'	KON	que
une	DET:ART	un
trentaine	NOM	trentaine
de	PRP	de
membres	NOM	membre
et	KON	et
amis	NOM	ami
de	PRP	de
la	DET:ART	le
classe	NOM	classe
39	NUM	@card@
se	PRO:PER	se
sont	VER:pres	être
retrouvés	VER:pper	retrouver
hier	ADV	hier
après-midi	NOM	après-midi
à	PRP	à
la	DET:ART	le
salle	NOM	salle
barbelouze	ADJ	barbelouze
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
la	DET:ART	le
fête	NOM	fête
de	PRP	de
l'	DET:ART	le
epiphanie	NOM	epiphanie
.	SENT	.
avant	PRP	avant
la	DET:ART	le
traditionnelle	ADJ	traditionnel
galette	NOM	galette
,	PUN	,
on	PRO:PER	on
a	VER:pres	avoir
joué	VER:pper	jouer
au	PRP:det	au
loto	NOM	loto
,	PUN	,
poussé	VER:pper	pousser
la	DET:ART	le
chansonnette	NOM	chansonnette
et	KON	et
tapé	VER:pper	taper
le	DET:ART	le
carton	NOM	carton
.	SENT	.
sûr	ADJ	sûr
qu'	PRO:REL	que
on	PRO:PER	on
se	PRO:PER	se
retrouvera	VER:futu	retrouver
tous	PRO:IND	tout
en	PRP	en
mai	NOM	mai
prochain	ADJ	prochain
pour	PRP	pour
l'	DET:ART	le
habituelle	ADJ	habituel
journée-grillades	NOM	journée-grillades
.	SENT	.
fidèles	NOM	fidèle
au	PRP:det	au
poste	NOM	poste
.	SENT	.
