hier	ADV	hier
vers	PRP	vers
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
une	DET:ART	un
voiture	NOM	voiture
et	KON	et
un	DET:ART	un
cyclomoteur	NOM	cyclomoteur
sont	VER:pres	être
entrés	VER:pper	entrer
en	PRP	en
collision	NOM	collision
rue	NOM	rue
d'	PRP	de
alsace	NOM	alsace
à	PRP	à
epinal	NOM	epinal
,	PUN	,
au	PRP:det	au
niveau	NOM	niveau
du	PRP:det	du
garage	NOM	garage
peugeot	ADJ	peugeot
.	SENT	.
le	DET:ART	le
pilote	NOM	pilote
du	PRP:det	du
deux	NUM	deux
roues	NOM	roue
,	PUN	,
un	DET:ART	un
jeune	ADJ	jeune
spinalien	NOM	spinalien
de	PRP	de
17	NUM	@card@
ans	NOM	an
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
évacué	VER:pper	évacuer
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
.	SENT	.
la	DET:ART	le
police	NOM	police
a	VER:pres	avoir
effectué	VER:pper	effectuer
le	DET:ART	le
constat	NOM	constat
.	SENT	.
