hier	ADV	hier
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
monique	ADJ	monique
rinderneck	NOM	rinderneck
a	VER:pres	avoir
reçu	VER:pper	recevoir
les	DET:ART	le
consentements	NOM	consentement
de	PRP	de
philippe	ADJ	philippe
bernard	NOM	bernard
,	PUN	,
agent	NOM	agent
de	PRP	de
fabrication	NOM	fabrication
et	KON	et
amoin	NOM	amoin
kouadio	NOM	kouadio
,	PUN	,
sans	PRP	sans
profession	NOM	profession
,	PUN	,
domiciliés	VER:pper	domicilier
tous	PRO:IND	tout
deux	NUM	deux
à	PRP	à
epinal	NOM	epinal
.	SENT	.
nos	DET:POS	notre
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
.	SENT	.
et	KON	et
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
ceux	PRO:DEM	celui
de	PRP	de
jean-baptiste	NOM	jean-baptiste
gorbena	VER:simp	gorbena
,	PUN	,
militaire	ADJ	militaire
et	KON	et
jeanne-marie	NOM	jeanne-marie
gerel	NOM	gerel
,	PUN	,
agent	NOM	agent
de	PRP	de
développement	NOM	développement
,	PUN	,
domiciliés	VER:pper	domicilier
tous	PRO:IND	tout
deux	NUM	deux
à	PRP	à
epinal	NOM	epinal
.	SENT	.
nos	DET:POS	notre
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
.	SENT	.
