lors	ADV	lors
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
de	PRP	de
lundi	NOM	lundi
soir	NOM	soir
,	PUN	,
le	DET:ART	le
maire	NOM	maire
maryse	NOM	maryse
marion	NOM	marion
a	VER:pres	avoir
tenu	VER:pper	tenir
à	PRP	à
rendre	VER:infi	rendre
hommage	NOM	hommage
à	PRP	à
son	DET:POS	son
adjoint	NOM	adjoint
charles	VER:pres	charles
binda	ADJ	binda
,	PUN	,
décédé	VER:pper	décéder
le	DET:ART	le
24	NUM	@card@
janvier	NOM	janvier
dernier	ADJ	dernier
.	SENT	.
en	PRP	en
quelques	PRO:IND	quelque
mots	NOM	mot
émouvants	ADJ	émouvant
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
su	VER:pper	savoir
retracer	VER:infi	retracer
son	DET:POS	son
action	NOM	action
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
conseil	NOM	conseil
,	PUN	,
son	DET:POS	son
attachement	NOM	attachement
à	PRP	à
la	DET:ART	le
vie	NOM	vie
de	PRP	de
son	DET:POS	son
village	NOM	village
.	SENT	.
il	PRO:PER	il
était	VER:impf	être
un	DET:ART	un
homme	NOM	homme
de	PRP	de
bon	ADJ	bon
conseil	NOM	conseil
.	SENT	.
c'	PRO:DEM	ce
était	VER:impf	être
un	DET:ART	un
sage	NOM	sage
.	SENT	.
sa	DET:POS	son
place	NOM	place
restera	VER:futu	rester
vide	ADJ	vide
mais	KON	mais
il	PRO:PER	il
restera	VER:futu	rester
vivant	VER:ppre	vivre
dans	PRP	dans
les	DET:ART	le
c	NOM	c
	ADJ	
urs	NOM	urs
.	SENT	.
