«	PUN:cit	«
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
blessée	VER:pper	blesser
pendant	PRP	pendant
une	DET:ART	un
dizaine	NOM	dizaine
de	PRP	de
jours	NOM	jour
.	SENT	.
ce	PRO:DEM	ce
qui	PRO:REL	qui
m'	PRO:PER	me
a	VER:pres	avoir
empêché	VER:pper	empêcher
de	PRP	de
me	PRO:PER	me
préparer	VER:infi	préparer
comme	KON	comme
je	PRO:PER	je
l'	PRO:PER	la|le
aurais	VER:cond	avoir
voulu	VER:pper	vouloir
.	SENT	.
en	PRO:PER	en
fait	VER:pres	faire
,	PUN	,
il	PRO:PER	il
m'	PRO:PER	me
a	VER:pres	avoir
manqué	VER:pper	manquer
de	PRP	de
faire	VER:infi	faire
des	PRP:det	du
kilomètres	NOM	kilomètre
durant	PRP	durant
toute	PRO:IND	tout
cette	PRO:DEM	ce
période	NOM	période
.	SENT	.
ma	DET:POS	mon
blessure	NOM	blessure
au	PRP:det	au
mollet	ADJ	mollet
s'	PRO:PER	se
est	VER:pres	être
réveillée	VER:pper	réveiller
à	PRP	à
peu	ADV	peu
près	ADV	près
à	PRP	à
mi-parcours	NOM	mi-parcours
.	SENT	.
je	PRO:PER	je
n'	ADV	ne
ai	VER:pres	avoir
pas	ADV	pas
insisté	VER:pper	insister
.	SENT	.
j'	PRO:PER	je
ai	VER:pres	avoir
simplement	ADV	simplement
essayé	VER:pper	essayer|essayer
de	PRP	de
garder	VER:infi	garder
un	DET:ART	un
bon	ADJ	bon
rythme	NOM	rythme
sur	PRP	sur
un	DET:ART	un
parcours	NOM	parcours
rendu	VER:pper	rendre
difficile	ADJ	difficile
par	PRP	par
les	DET:ART	le
conditions	NOM	condition
atmosphériques	ADJ	atmosphérique
.	SENT	.
evidemment	NOM	evidemment
,	PUN	,
ce	PRO:DEM	ce
fut	VER:simp	être
dur	ADJ	dur
.	SENT	.
mais	KON	mais
au	PRP:det	au
cross	NOM	cross
chaque	PRO:IND	chaque
athlète	NOM	athlète
sait	VER:pres	savoir
forcément	ADV	forcément
à	PRP	à
quoi	PRO	quoi
s'	PRO:PER	se
attendre	VER:infi	attendre
».	VER:pper	».
