hier	ADV	hier
,	PUN	,
les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
sont	VER:pres	être
intervenus	VER:pper	intervenir
pour	PRP	pour
cinq	NUM	cinq
malaises	NOM	malais|malaise
:	PUN	:
à	PRP	à
0	NUM	@card@
h	ABR	heure
55	NUM	@card@
à	PRP	à
dombasle	NOM	dombasle
,	PUN	,
à	PRP	à
11	NUM	@card@
h	ABR	heure
55	NUM	@card@
et	KON	et
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
varangéville	NOM	varangéville
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
20	NUM	@card@
à	PRP	à
saint-nicolas	NOM	saint-nicolas
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
35	NUM	@card@
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
