c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
13	NUM	@card@
décembre	NOM	décembre
2002	NUM	@card@
qu'	KON	que
est	VER:pres	être
née	VER:pper	naître
à	PRP	à
toul	NOM	toul
à	PRP	à
12	NUM	@card@
h	ABR	heure
42	NUM	@card@
orlanne	NOM	orlanne
,	PUN	,
jolie	ADJ	joli
petite	ADJ	petit
fille	NOM	fille
pesant	VER:ppre	peser
à	PRP	à
la	DET:ART	le
naissance	NOM	naissance
3,460	NUM	@card@
kg	ABR	kg
et	KON	et
mesurant	VER:ppre	mesurer
50	NUM	@card@
cm	NOM	cm
.	SENT	.
elle	PRO:PER	elle
fait	VER:pres	faire
la	DET:ART	le
joie	NOM	joie
des	PRP:det	du
jeunes	NOM	jeune
parents	ADJ	parent
,	PUN	,
le	DET:ART	le
papa	NOM	papa
andré	ADJ	andré
techer	ADJ	techer
,	PUN	,
originaire	ADJ	originaire
de	PRP	de
l'	DET:ART	le
île	NOM	île
de	PRP	de
la	DET:ART	le
réunion	NOM	réunion
,	PUN	,
la	DET:ART	le
maman	NOM	maman
maryline	NOM	maryline
aubert	NOM	aubert
,	PUN	,
originaire	ADJ	originaire
de	PRP	de
normandie	NOM	normandie
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
militaires	NOM	militaire
au	PRP:det	au
516	NUM	@card@
e	NOM	e
rt	ADJ	rt
et	KON	et
demeurant	VER:ppre	demeurer
dans	PRP	dans
la	DET:ART	le
localité	NOM	localité
depuis	PRP	depuis
un	DET:ART	un
an	NOM	an
à	PRP	à
la	DET:ART	le
résidence	NOM	résidence
lamarche	ADJ	lamarche
d	VER:simp	d
6	NUM	@card@
félicitations	NOM	félicitation
aux	PRP:det	au
parents	ADJ	parent
et	KON	et
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
orlanne	NOM	orlanne
.	SENT	.
