Key = d'origine, Value = 1
Key = de, Value = 4
Key = �t�, Value = 1
Key = officiel, Value = 1
Key = ao�t, Value = 1
Key = seles, Value = 1
Key = du, Value = 2
Key = des, Value = 1
Key = tournoi, Value = 1
Key = n'avait, Value = 1
Key = depuis, Value = 1
Key = un, Value = 2
Key = jou�, Value = 1
Key = par, Value = 1
Key = poignard�e, Value = 1
Key = (6-0, Value = 1
Key = 15, Value = 1
Key = effectu�, Value = 1
Key = finale, Value = 1
Key = en, Value = 3
Key = monica, Value = 1
Key = dans, Value = 1
Key = plus, Value = 1
Key = victorieux, Value = 1
Key = au, Value = 1
Key = canada, Value = 1
Key = comp�tition, Value = 1
Key = hambourg, Value = 1
Key = l'am�ricaine, Value = 2
Key = kimberley, Value = 1
Key = retour, Value = 1
Key = toronto, Value = 1
Key = battant, Value = 1
Key = dos, Value = 1
Key = steffi, Value = 1
Key = deuxi�me, Value = 1
Key = mardi, Value = 1
Key = avril, Value = 1
Key = elle, Value = 1
Key = admirateur, Value = 1
Key = quart, Value = 1
Key = 6-3), Value = 1
Key = 1993, Value = 1
Key = croate, Value = 1
Key = l'allemande, Value = 1
Key = 30, Value = 1
Key = graf, Value = 1
Key = a, Value = 1
Key = match, Value = 1
Key = tour, Value = 1
Key = o�, Value = 1
Key = le, Value = 2
Key = avait, Value = 1
Key = internationaux, Value = 1
Key = �, Value = 1
Key = po, Value = 1
