Key = a, Value = 1
Key = il, Value = 1
Key = premi�re, Value = 1
Key = gagn�, Value = 1
Key = makinen, Value = 1
Key = rallye, Value = 1
Key = mitsubishi-lancer, Value = 1
Key = finlandais, Value = 1
Key = samedi, Value = 1
Key = sa, Value = 1
Key = d'argentine, Value = 1
Key = sur, Value = 1
Key = du, Value = 1
Key = championnat, Value = 1
Key = ainsi, Value = 1
Key = au, Value = 1
Key = 6, Value = 1
Key = conforte, Value = 1
Key = tommi, Value = 1
Key = juillet, Value = 1
Key = le, Value = 2
Key = monde, Value = 1
Key = place, Value = 1
